,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,198.99,161.38,346.44,387.44,247.2,,,,,
low,103.29,108.59,109.18,201.68,69.29,,,,,
change,-0.3159,0.3393,1.0837999999999999,-0.2627,-0.6729999999999999,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,2744.0,2721.0,2786.0,2851.0,Balance Sheet
Short Term Investments,,,,,,756.0,816.0,782.0,815.0,Balance Sheet
Cash and Short Term Invs,,,,,,3500.0,3537.0,3568.0,3666.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,443.0,394.0,433.0,,Balance Sheet
Prov. for Doubtful Accts,,,,,,-6.0,-5.0,-6.0,,Balance Sheet
"Trade Accts Recvble, Net",,,,,,437.0,389.0,427.0,648.0,Balance Sheet
Other Receivables,,,,,,189.0,172.0,190.0,2.0,Balance Sheet
"Total Receivables, Net",,,,,,626.0,561.0,617.0,650.0,Balance Sheet
Prepaid Expenses,,,,,,74.0,89.0,134.0,,Balance Sheet
"Other Curr. Assets, Total",,,,,,172.0,181.0,203.0,343.0,Balance Sheet
Total Current Assets,,,,,,4372.0,4368.0,4522.0,4659.0,Balance Sheet
Buildings,,,,,,422.0,433.0,449.0,,Balance Sheet
Machinery/Equipment,,,,,,83.0,85.0,91.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,,,632.0,655.0,677.0,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,1137.0,1173.0,1217.0,,Balance Sheet
Accumulated Depreciation,,,,,,-328.0,-361.0,-399.0,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,809.0,812.0,818.0,835.0,Balance Sheet
"Goodwill, Gross",,,,,,894.0,978.0,1111.0,,Balance Sheet
Accum. Goodwill Amort.,,,,,,0.0,0.0,0.0,,Balance Sheet
"Goodwill, Net",,,,,,894.0,978.0,1111.0,1261.0,Balance Sheet
Intangibles - Gross,,,,,,169.0,200.0,230.0,,Balance Sheet
Accum. Intangible Amort.,,,,,,-80.0,-91.0,-104.0,,Balance Sheet
Intangibles - Net,,,,,,89.0,109.0,126.0,153.0,Balance Sheet
Long Term Investments,,,,,,916.0,682.0,720.0,630.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,13.0,8.0,7.0,8.0,Balance Sheet
Restricted Cash - LT,,,,,,52.0,57.0,60.0,86.0,Balance Sheet
Other Long Term Assets,,,,,,25.0,25.0,24.0,,Balance Sheet
Total Assets,,,,,,7170.0,7039.0,7388.0,7632.0,Balance Sheet
Accounts Payable,,,,,,534.0,449.0,578.0,947.0,Balance Sheet
Accrued Expenses,,,,,,1841.0,1882.0,1951.0,2020.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,,Balance Sheet
Customer Advances,,,,,,458.0,469.0,489.0,522.0,Balance Sheet
Income Taxes Payable,,,,,,252.0,242.0,240.0,16.0,Balance Sheet
Other Current Liabilities,,,,,,141.0,81.0,76.0,53.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,851.0,792.0,805.0,591.0,Balance Sheet
Total Current Liabilities,,,,,,3226.0,3123.0,3334.0,3558.0,Balance Sheet
Long Term Debt,,,,,,1202.0,1146.0,1127.0,1197.0,Balance Sheet
Capital Lease Obligations,,,,,,579.0,587.0,592.0,608.0,Balance Sheet
Total Long Term Debt,,,,,,1781.0,1733.0,1719.0,1805.0,Balance Sheet
Total Debt,,,,,,1781.0,1733.0,1719.0,1805.0,Balance Sheet
Deferred Income Tax,,,,,,,,1.0,2.0,Balance Sheet
Reserves,,,,,,7.0,6.0,4.0,3.0,Balance Sheet
Other LT Liabilities,,,,,,37.0,30.0,29.0,31.0,Balance Sheet
"Other Liabilities, Total",,,,,,44.0,36.0,33.0,34.0,Balance Sheet
Total Liabilities,,,,,,5051.0,4892.0,5087.0,5399.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,,Balance Sheet
