,SPOT
% Above Low,0.1116
% Held by Institutions,0.5525
52-Wk Range,['69.29 - 251.45']
Annual Dividend $,
Annual Dividend %,
Ask,77.05
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,76.98
Bid Size,100.0
Day Change $,-1.71
Day Change %,-0.0217
Day High,79.38
Day Low,76.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.09
Ex-dividend Date,No dividend
Historical Volatility,0.659
Last (size),100.0
Last (time),3:03p ET 11/28/22
Market Cap,14.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,78.73
Price,77.02
Short Interest,0.0248
Today's Open,77.75
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.15966386554621836
Growth 2yr High Est,-1.300925925925926
Growth 2yr Consensus Est,-0.5706310301898538
Growth 5yr Low Est,0.15966386554621836
Growth 5yr High Est,-1.300925925925926
Growth 5yr Consensus Est,-0.5706310301898538
Growth 5yr Actual/Est,0.6252961886812396
Growth 3yr Historic,0.34407235484821697
Price/Earnings (TTM),
Price/Sales (TTM),1.30021
Price/Book (MRQ),6.51735
Price/Cash Flow (TTM),
5yr Low,69.29
5yr High,387.44
5yr Avg Return,0.03430000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.2677805
Dividend Growth 5yr,
Short Int Current Month,3481202.0
Short Int Prev Month,3779696.0
Short Int Pct of Float,0.0247553
Days to Cover,1.68133
Float,140.6416
Shares Outstanding,193.1303
Institutions Holding Shares,699.0
FCF Growth 5yr,0.31028527933968647
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2522
Operating Profit Margin (TTM),-0.038700000000000005
Net Profit Margin (TTM),-0.0177
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3271
EPS Growth (TTM),-0.6531
Revenue Growth (MRQ),0.0601
Revenue Growth (TTM),0.2299
Return On Equity (TTM),-0.09150000000000001
Return On Assets (TTM),-0.027200000000000002
Return On Investment (TTM),-0.049800000000000004
Revenue Per Employee (TTM),1767325.0
Total Debt/Total Capital (MRQ),0.44700000000000006
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
theStreet since,2022-03-16 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-28 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
