,2017,2018,2019,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report,Q2 2023
high,48.45,89.85,110.8,129.7,177.45,127.05,,,,,,
low,43.4,42.2,67.61,35.18,95.12,52.24,,,,,,
change,-0.0398,0.619,0.5367000000000001,-0.0040999999999999995,-0.0791,-0.3144,,,,,,
Date,,,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet,
Cash and Short Term Invs,,,,,,,2.0,3.0,7.0,4.0,Balance Sheet,
"Trade Accts Recvble, Net",,,,,,,4.0,4.0,5.0,5.0,Balance Sheet,
Other Receivables,,,,,,,,0.0,0.0,0.0,Balance Sheet,
"Total Receivables, Net",,,,,,,4.0,4.0,5.0,5.0,Balance Sheet,
Total Inventory,,,,,,,109.0,120.0,115.0,145.0,Balance Sheet,
Prepaid Expenses,,,,,,,8.0,9.0,9.0,10.0,Balance Sheet,
Total Current Assets,,,,,,,,,,,Balance Sheet,
Buildings,,,,,,,48.0,48.0,50.0,54.0,Balance Sheet,
Land/Improvements,,,,,,,8.0,8.0,12.0,12.0,Balance Sheet,
Construction in Progress,,,,,,,8.0,14.0,14.0,17.0,Balance Sheet,
Other Prop./Plant/Equip.,,,,,,,74.0,73.0,75.0,77.0,Balance Sheet,
Prop./Plant/Equip. - Gross,,,,,,,137.0,143.0,151.0,160.0,Balance Sheet,
Accumulated Depreciation,,,,,,,-39.0,-40.0,-41.0,-42.0,Balance Sheet,
Prop./Plant/Equip. - Net,,,,,,,98.0,103.0,110.0,118.0,Balance Sheet,
"Goodwill, Net",,,,,,,8.0,9.0,9.0,9.0,Balance Sheet,
Note Rcvble - Long Term,,,,,,,748.0,797.0,854.0,919.0,Balance Sheet,
Restricted Cash - LT,,,,,,,,,36.0,38.0,Balance Sheet,
Total Assets,,,,,,,977.0,1045.0,1145.0,1248.0,Balance Sheet,
Accounts Payable,,,,,,,22.0,23.0,20.0,29.0,Balance Sheet,
Accrued Expenses,,,,,,,85.0,83.0,86.0,85.0,Balance Sheet,
Notes Payable/ST Debt,,,,,,,1.0,0.0,0.0,1.0,Balance Sheet,
"Other Curr. Lblts, Total",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Total Current Liabilities,,,,,,,,,,,Balance Sheet,
Total Long Term Debt,,,,,,,324.0,373.0,441.0,512.0,Balance Sheet,
Total Debt,,,,,,,325.0,373.0,441.0,513.0,Balance Sheet,
Deferred Income Tax,,,,,,,24.0,26.0,28.0,31.0,Balance Sheet,
Minority Interest,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
"Other Liabilities, Total",,,,,,,82.0,89.0,100.0,108.0,Balance Sheet,
Total Liabilities,,,,,,,539.0,594.0,676.0,767.0,Balance Sheet,
Redeemable Preferred Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Additional Paid-In Capital,,,,,,,102.0,103.0,103.0,106.0,Balance Sheet,
Ret. Earn.(Accum. Deficit),,,,,,,613.0,632.0,658.0,671.0,Balance Sheet,
Treasury Stock - Common,,,,,,,-277.0,-284.0,-292.0,-297.0,Balance Sheet,
Total Equity,,,,,,,438.0,451.0,470.0,481.0,Balance Sheet,
Total Liabilities & Shareholders’ Equity,,,,,,,977.0,1045.0,1145.0,1248.0,Balance Sheet,
Ttl Comm. Shares Outs.,,,,,,,7.0,6.0,6.0,6.0,Balance Sheet,
Trsy. Shrs-Comm. Primary Iss.,,,,,,,7.0,7.0,7.0,7.0,Balance Sheet,
Date,,,,,,,,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement,2022-10-31 00:00:00
Total Revenue,,,,,,,,291898.0,351837.0,338818.0,Income Statement,351840.0
"Cost of Revenue, Total",,,,,,,,157248.0,196452.0,193115.0,Income Statement,206142.0
"Sell/Gen/AdminExpenses,Tot",,,,,,,,105920.0,116295.0,119474.0,Income Statement,131739.0
Depreciation/Amortization,,,,,,,,950.0,1210.0,1151.0,Income Statement,1309.0
