,CRMT
% Above Low,0.3518
% Held by Institutions,0.8210999999999999
52-Wk Range,['52.24 - 127.05']
Annual Dividend $,
Annual Dividend %,
Ask,79.94
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,53.5
Bid Size,200.0
Closing Price,70.62
Day Change $,-1.65
Day Change %,-0.022799999999999997
Day High,72.61
Day Low,69.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.34
Ex-dividend Date,No dividend
Historical Volatility,0.648
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,450.6M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.56
Prev Close,72.27
Short Interest,0.1103
Today's Open,72.27
Volume,38865.0
Volume 10-day Avg,124818.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.4533898305084746
Growth 1yr High Est,-0.20277777777777772
Growth 1yr Consensus Est,-0.32808380414312616
Growth 2yr Low Est,-0.010932641352428496
Growth 2yr High Est,0.2209107626790553
Growth 2yr Consensus Est,0.1049890606633134
Growth 5yr Low Est,-0.005466320676214248
Growth 5yr High Est,0.11045538133952765
Growth 5yr Consensus Est,0.0524945303316567
Growth 5yr Actual/Est,0.1965330565019185
Growth 3yr Historic,0.23434633261073226
Price/Earnings (TTM),7.56176
Price/Sales (TTM),0.33706
Price/Book (MRQ),
Price/Cash Flow (TTM),6.7267
5yr Low,35.18
5yr High,177.45
5yr Avg Return,0.1197166666666667
EPS Growth 5yr,0.406168
Revenue Growth 5yr,0.1558141
Dividend Growth 5yr,
Short Int Current Month,635485.0
Short Int Prev Month,629297.0
Short Int Pct of Float,0.11031650000000001
Days to Cover,10.37899
Float,5.76056
Shares Outstanding,6.36884
Institutions Holding Shares,186.0
FCF Growth 5yr,0.09294908630077951
"Price/Earnings (TTM, GAAP)",7.56
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.43570000000000003
Operating Profit Margin (TTM),0.0775
Net Profit Margin (TTM),0.0467
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7709
EPS Growth (TTM),-0.42450000000000004
Revenue Growth (MRQ),0.0384
Revenue Growth (TTM),0.24780000000000002
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),635425.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0034999999999999996
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.51
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-09-15 00:00:00
