,CRMT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.56,19.03,Valuation,0.397267472411981
Price/Sales (TTM),0.34,1.93,Valuation,0.1761658031088083
Price/Book (MRQ),,92.12,Valuation,
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.43570000000000003,0.34390000000000004,Profitability,1.2669380633905205
Operating Profit Margin (TTM),0.0775,0.11789999999999999,Profitability,0.6573367260390162
Net Profit Margin (TTM),0.0467,0.0818,Profitability,0.5709046454767727
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),-0.7709,-0.10800000000000001,Gowth rates,7.137962962962963
EPS Growth (TTM),-0.42450000000000004,0.0262,Gowth rates,-16.202290076335878
Revenue Growth (MRQ),0.0384,0.0478,Gowth rates,0.8033472803347279
Revenue Growth (TTM),0.24780000000000002,0.0874,Gowth rates,2.8352402745995424
Return On Equity (TTM),,5.2054,Effectiveness,
Return On Assets (TTM),,0.1562,Effectiveness,
Return On Investment (TTM),,0.26,Effectiveness,
Revenue Per Employee (TTM),635425.0,410011.0,Effectiveness,1.5497754938282144
Total Debt/Total Capital (MRQ),,0.8926999999999999,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0034999999999999996,0.0016,Financial strength,2.1874999999999996
Quick Ratio (MRQ),,0.39,Financial strength,
Interest Coverage (MRQ),1.51,13.36,Financial strength,0.11302395209580839
