,IDA
% Below High,0.084
% Held by Institutions,0.7962
52-Wk Range,['93.53 - 118.92']
Annual Dividend $,3.16
Annual Dividend %,0.028999999999999998
Ask,118.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,96.5
Bid Size,100.0
Closing Price,108.93
Day Change $,1.14
Day Change %,0.0106
Day High,108.93
Day Low,107.82
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",4.93
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.22899999999999998
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,5.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.12
Prev Close,107.79
Short Interest,0.0166
Today's Open,107.85
Volume,97958.0
Volume 10-day Avg,185560.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.01030927835051565
Growth 1yr High Est,0.04489795918367334
Growth 1yr Consensus Est,0.027603618767094495
Growth 2yr Low Est,0.028624026930359814
Growth 2yr High Est,0.04490991709183667
Growth 2yr Consensus Est,0.03676697201109824
Growth 5yr Low Est,0.03807996546203213
Growth 5yr High Est,0.04713177381715189
Growth 5yr Consensus Est,0.04260586963959201
Growth 5yr Actual/Est,0.0320873488817382
Growth 3yr Historic,0.012867179442113796
Price/Earnings (TTM),22.1157
Price/Sales (TTM),3.53958
Price/Book (MRQ),1.98241
Price/Cash Flow (TTM),13.01938
5yr Low,69.05
5yr High,118.92
5yr Avg Return,0.02323333333333334
EPS Growth 5yr,0.0425598
Revenue Growth 5yr,0.0293031
Dividend Growth 5yr,0.0672492
Short Int Current Month,832146.0
Short Int Prev Month,977373.0
Short Int Pct of Float,0.0165701
Days to Cover,3.5665
Float,50.23903
Shares Outstanding,50.56189
Institutions Holding Shares,498.0
FCF Growth 5yr,0.600140460178976
"Price/Earnings (TTM, GAAP)",22.12
"PEG Ratio (TTM, GAAP)",6.5
Gross Profit Margin (TTM),0.3514
Operating Profit Margin (TTM),0.2072
Net Profit Margin (TTM),0.1608
Annual Dividend Yield,0.028999999999999998
Dividend Change %,0.0588
"Dividend Growth Rate, 3 Years",0.06269999999999999
EPS Growth (MRQ),0.6536
EPS Growth (TTM),-0.0034000000000000002
Revenue Growth (MRQ),0.444
Revenue Growth (TTM),0.0815
Return On Equity (TTM),0.0917
Return On Assets (TTM),0.0339
Return On Investment (TTM),0.0359
Revenue Per Employee (TTM),784687.0
Total Debt/Total Capital (MRQ),0.43570000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.19
Interest Coverage (MRQ),5.78
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-10-23 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
