,PRAA
% Above Low,0.1342
% Held by Institutions,1.0407
52-Wk Range,['29.69 - 51.00']
Annual Dividend $,
Annual Dividend %,
Ask,33.73
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,33.59
Bid Size,200.0
Day Change $,-0.25
Day Change %,-0.0074
Day High,34.18
Day Low,33.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.3
Ex-dividend Date,No dividend
Historical Volatility,0.222
Last (size),100.0
Last (time),11:24a ET 11/28/22
Market Cap,1.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.28
Prev Close,33.92
Price,33.67
Short Interest,0.06269999999999999
Today's Open,33.72
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.30051813471502586
Growth 1yr High Est,-0.20906801007556675
Growth 1yr Consensus Est,-0.2547930723952963
Growth 2yr Low Est,-0.3169257340241796
Growth 2yr High Est,-0.1140881451651719
Growth 2yr Consensus Est,-0.21550693959467576
Growth 5yr Low Est,-0.13872861763546782
Growth 5yr High Est,-0.008381995766680231
Growth 5yr Consensus Est,-0.07355530670107402
Growth 5yr Actual/Est,0.11890348169713263
Growth 3yr Historic,0.24103288213717666
Price/Earnings (TTM),10.27751
Price/Sales (TTM),1.32129
Price/Book (MRQ),1.16855
Price/Cash Flow (TTM),8.6721
5yr Low,19.4
5yr High,51.0
5yr Avg Return,0.03491666666666667
EPS Growth 5yr,0.1679187
Revenue Growth 5yr,0.0332085
Dividend Growth 5yr,
Short Int Current Month,2393030.0
Short Int Prev Month,2409577.0
Short Int Pct of Float,0.0627024
Days to Cover,9.26583
Float,38.22647
Shares Outstanding,38.97691
Institutions Holding Shares,248.0
FCF Growth 5yr,-0.39674096493808464
"Price/Earnings (TTM, GAAP)",10.28
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8034
Operating Profit Margin (TTM),0.3088
Net Profit Margin (TTM),0.1373
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3095
EPS Growth (TTM),-0.1522
Revenue Growth (MRQ),-0.0521
Revenue Growth (TTM),-0.10070000000000001
Return On Equity (TTM),0.10740000000000001
Return On Assets (TTM),0.0334
Return On Investment (TTM),0.0353
Revenue Per Employee (TTM),290369.0
Total Debt/Total Capital (MRQ),0.6759999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.18
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-06 00:00:00
theStreet since,2022-05-23 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
