,PRAA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.28,8.59,Valuation,1.1967403958090803
Price/Sales (TTM),1.32,1.88,Valuation,0.7021276595744682
Price/Book (MRQ),1.17,3.02,Valuation,0.38741721854304634
"PEG Ratio (TTM, GAAP)",,1.78,Valuation,
Gross Profit Margin (TTM),0.8034,0.38079999999999997,Profitability,2.1097689075630255
Operating Profit Margin (TTM),0.3088,0.2543,Profitability,1.2143138025953597
Net Profit Margin (TTM),0.1373,0.19039999999999999,Profitability,0.7211134453781514
Annual Dividend Yield,,0.0187,Dividend,
Dividend Change %,,0.242,Dividend,
"Dividend Growth Rate, 3 Years",,0.0575,Dividend,
EPS Growth (MRQ),-0.3095,-0.1573,Gowth rates,1.9675778766687857
EPS Growth (TTM),-0.1522,-0.04820000000000001,Gowth rates,3.1576763485477173
Revenue Growth (MRQ),-0.0521,0.2511,Gowth rates,-0.20748705694942254
Revenue Growth (TTM),-0.10070000000000001,0.21670000000000003,Gowth rates,-0.4646977388094139
Return On Equity (TTM),0.10740000000000001,0.2596,Effectiveness,0.413713405238829
Return On Assets (TTM),0.0334,0.0326,Effectiveness,1.0245398773006136
Return On Investment (TTM),0.0353,0.0432,Effectiveness,0.8171296296296295
Revenue Per Employee (TTM),290369.0,448656.0,Effectiveness,0.6471974073677829
Total Debt/Total Capital (MRQ),0.6759999999999999,0.4919,Financial strength,1.3742630615978857
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0012,Financial strength,0.25
Quick Ratio (MRQ),,0.05,Financial strength,
Interest Coverage (MRQ),2.18,16.82,Financial strength,0.1296076099881094
