,UNFI
% Below High,0.1881
% Held by Institutions,0.9
52-Wk Range,['32.90 - 57.89']
Annual Dividend $,
Annual Dividend %,
Ask,47.21
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,15.0
Bid Size,200.0
Closing Price,47.0
Day Change $,0.82
Day Change %,0.0178
Day High,47.03
Day Low,45.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.08
Ex-dividend Date,No dividend
Historical Volatility,0.42600000000000005
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.31
Prev Close,46.18
Short Interest,0.0342
Today's Open,45.62
Volume,291909.0
Volume 10-day Avg,282329.0
Volume Past Day,(Average)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.02325581395348819
Growth 1yr High Est,0.06400000000000006
Growth 1yr Consensus Est,0.043627906976744124
Growth 2yr Low Est,0.03022294829905814
Growth 2yr High Est,0.09121052631578952
Growth 2yr Consensus Est,0.06071673730742383
Growth 5yr Low Est,0.03022294829905814
Growth 5yr High Est,0.09121052631578952
Growth 5yr Consensus Est,0.06071673730742383
Growth 5yr Actual/Est,0.19657061616654803
Growth 3yr Historic,0.16782898726500906
Price/Earnings (TTM),11.31383
Price/Sales (TTM),0.09563
Price/Book (MRQ),1.50407
Price/Cash Flow (TTM),5.1228
5yr Low,5.0
5yr High,57.89
5yr Avg Return,0.3225166666666667
EPS Growth 5yr,0.0995125
Revenue Growth 5yr,0.2554686
Dividend Growth 5yr,
Short Int Current Month,2009708.0
Short Int Prev Month,1925416.0
Short Int Pct of Float,0.0341666
Days to Cover,5.17821
Float,58.89668
Shares Outstanding,59.9028
Institutions Holding Shares,385.0
FCF Growth 5yr,0.012191197106038961
"Price/Earnings (TTM, GAAP)",11.31
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1446
Operating Profit Margin (TTM),0.0144
Net Profit Margin (TTM),0.0088
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.40399999999999997
EPS Growth (TTM),0.679
Revenue Growth (MRQ),0.0043
Revenue Growth (TTM),0.07200000000000001
Return On Equity (TTM),0.1507
Return On Assets (TTM),0.0337
Return On Investment (TTM),0.049800000000000004
Revenue Per Employee (TTM),954720.0
Total Debt/Total Capital (MRQ),0.5466
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),0.6
Interest Coverage (MRQ),2.24
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-03-12 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-01-27 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
