,LPG
% Below High,0.0178
% Held by Institutions,0.6551
52-Wk Range,['10.77 - 19.71']
Annual Dividend $,
Annual Dividend %,
Ask,20.4
Ask Size,3000.0
B/A Ratio,0.03333333333333333
B/A Size,100x3000
Beta,1.2
Bid,18.56
Bid Size,100.0
Change Since Close,-0.47| |(-2.43%)
Closing Price,19.36
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.42
Ex-dividend Date,No dividend
Historical Volatility,0.474
Last (size),18.0
Last (time),5:00p ET 11/25/22
Last Trade,18.89
Market Cap,781.2M
"P/E Ratio (TTM, GAAP)",7.99
Prev Close,19.36
Short Interest,0.043899999999999995
Today's Open,
Volume,18.0
Volume 10-day Avg,450630.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.6904761904761905
Growth 1yr High Est,1.3851851851851853
Growth 1yr Consensus Est,1.037830687830688
Growth 2yr Low Est,0.10580147551978542
Growth 2yr High Est,0.7143317230273752
Growth 2yr Consensus Est,0.41006659927358036
Growth 5yr Low Est,0.10580147551978542
Growth 5yr High Est,0.7143317230273752
Growth 5yr Consensus Est,0.41006659927358036
Growth 5yr Actual/Est,0.05698071250047662
Growth 3yr Historic,-0.128169663439373
Price/Earnings (TTM),7.99293
Price/Sales (TTM),2.59551
Price/Book (MRQ),0.94605
Price/Cash Flow (TTM),4.84035
5yr Low,5.26
5yr High,19.71
5yr Avg Return,0.3125666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1036839
Dividend Growth 5yr,
Short Int Current Month,1483292.0
Short Int Prev Month,1734520.0
Short Int Pct of Float,0.0439229
Days to Cover,1.99231
Float,33.78106
Shares Outstanding,40.35054
Institutions Holding Shares,223.0
FCF Growth 5yr,0.5429624218873976
"Price/Earnings (TTM, GAAP)",7.99
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9164
Operating Profit Margin (TTM),0.3891
Net Profit Margin (TTM),0.32270000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1833
EPS Growth (TTM),0.1358
Revenue Growth (MRQ),-0.0111
Revenue Growth (TTM),-0.0418
Return On Equity (TTM),0.1121
Return On Assets (TTM),0.0647
Return On Investment (TTM),0.06860000000000001
Revenue Per Employee (TTM),3809820.0
Total Debt/Total Capital (MRQ),0.4375
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),2.9
Interest Coverage (MRQ),3.77
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-07-01 00:00:00
theStreet since,2021-02-04 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
