,LPG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.99,9.13,Valuation,0.8751369112814895
Price/Sales (TTM),2.6,7.57,Valuation,0.34346103038309117
Price/Book (MRQ),0.95,4.65,Valuation,0.2043010752688172
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.9164,0.35119999999999996,Profitability,2.609339407744875
Operating Profit Margin (TTM),0.3891,0.192,Profitability,2.0265625
Net Profit Margin (TTM),0.32270000000000004,0.0358,Profitability,9.013966480446928
Annual Dividend Yield,,0.0379,Dividend,
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),-0.1833,2.3421000000000003,Gowth rates,-0.07826309722044318
EPS Growth (TTM),0.1358,7.2215,Gowth rates,0.018804957418818807
Revenue Growth (MRQ),-0.0111,0.7168000000000001,Gowth rates,-0.01548549107142857
Revenue Growth (TTM),-0.0418,47.807,Gowth rates,-0.000874348944715209
Return On Equity (TTM),0.1121,0.3993,Effectiveness,0.2807412972702229
Return On Assets (TTM),0.0647,0.15810000000000002,Effectiveness,0.409234661606578
Return On Investment (TTM),0.06860000000000001,0.2237,Effectiveness,0.3066607063030845
Revenue Per Employee (TTM),3809820.0,7554984.0,Effectiveness,0.5042790295783551
Total Debt/Total Capital (MRQ),0.4375,0.3658,Financial strength,1.1960087479496992
Change in Debt/Total Capital Quarter over Quarter,0.0015,-0.002,Financial strength,-0.75
Quick Ratio (MRQ),2.9,0.96,Financial strength,3.0208333333333335
Interest Coverage (MRQ),3.77,13.28,Financial strength,0.28388554216867473
