,LPG
Price/Earnings (TTM),7.99293
Price/Sales (TTM),2.59551
Price/Book (MRQ),0.94605
Price/Cash Flow (TTM),4.84035
5yr Low,5.26
5yr High,19.71
5yr Avg Return,0.3125666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.1036839
Dividend Growth 5yr,
Short Int Current Month,1483292.0
Short Int Prev Month,1734520.0
Short Int Pct of Float,0.0439229
Days to Cover,1.99231
Float,33.78106
Shares Outstanding,40.35054
Institutions Holding Shares,223.0
% Held by Institutions,0.655072
FCF Growth 5yr,0.5429624218873976
