,DXCM
% Below High,0.2661
% Held by Institutions,0.9581999999999999
52-Wk Range,['66.89 - 152.62']
Annual Dividend $,
Annual Dividend %,
Ask,112.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,112.15
Bid Size,100.0
Closing Price,112.0
Day Change $,-0.92
Day Change %,-0.008100000000000001
Day High,113.02
Day Low,110.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.54
Ex-dividend Date,No dividend
Historical Volatility,0.5529999999999999
Last (size),100.0
Last (time),12:59p ET 11/25/22
Market Cap,43.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",209.2
Prev Close,112.92
Short Interest,0.032799999999999996
Today's Open,112.91
Volume,1182919.0
Volume 10-day Avg,2493667.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.7395833333333333
Growth 1yr High Est,-0.7530120481927711
Growth 1yr Consensus Est,-0.7462976907630522
Growth 2yr Low Est,-0.303125
Growth 2yr High Est,-0.12650602409638556
Growth 2yr Consensus Est,-0.21481551204819277
Growth 5yr Low Est,-0.2020833333333333
Growth 5yr High Est,-0.08433734939759037
Growth 5yr Consensus Est,-0.14321034136546185
Growth 5yr Actual/Est,0.27778909590841777
Growth 3yr Historic,0.13865663322185062
Price/Earnings (TTM),209.2011
Price/Sales (TTM),15.49016
Price/Book (MRQ),23.70754
Price/Cash Flow (TTM),113.3375
5yr Low,12.76
5yr High,164.86
5yr Avg Return,0.4970666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.3369145
Dividend Growth 5yr,
Short Int Current Month,12592535.0
Short Int Prev Month,11900720.0
Short Int Pct of Float,0.0327515
Days to Cover,4.58409
Float,384.6541
Shares Outstanding,386.2581
Institutions Holding Shares,1170.0
FCF Growth 5yr,-0.19726146133483238
"Price/Earnings (TTM, GAAP)",209.2
"PEG Ratio (TTM, GAAP)",6.36
Gross Profit Margin (TTM),0.6597
Operating Profit Margin (TTM),0.0951
Net Profit Margin (TTM),0.0824
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9676000000000001
EPS Growth (TTM),-0.6207
Revenue Growth (MRQ),0.1054
Revenue Growth (TTM),0.20420000000000002
Return On Equity (TTM),0.1161
Return On Assets (TTM),0.0475
Return On Investment (TTM),0.0572
Revenue Per Employee (TTM),443302.0
Total Debt/Total Capital (MRQ),0.5266
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),3.43
Interest Coverage (MRQ),113.46
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-06 00:00:00
cfra since,2018-08-02 00:00:00
ford since,2022-02-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-04-30 00:00:00
