,DXCM
% Below High,0.2661
% Held by Institutions,0.9581999999999999
52-Wk Range,['66.89 - 152.62']
Annual Dividend $,
Annual Dividend %,
Ask,112.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,112.15
Bid Size,100.0
Closing Price,112.0
Day Change $,-0.92
Day Change %,-0.008100000000000001
Day High,113.02
Day Low,110.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.54
Ex-dividend Date,No dividend
Historical Volatility,0.5529999999999999
Last (size),100.0
Last (time),12:59p ET 11/25/22
Market Cap,43.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",209.2
Prev Close,112.92
Shares Outstanding,386.3M
Short Interest,0.032799999999999996
Today's Open,112.91
Volume,1182919.0
Volume 10-day Avg,2493667.0
Volume Past Day,(Light)
