,DXCM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",209.2,61.36,Valuation,3.409387222946545
Price/Sales (TTM),15.49,9.8,Valuation,1.5806122448979592
Price/Book (MRQ),23.71,10.31,Valuation,2.2997090203685744
"PEG Ratio (TTM, GAAP)",6.36,3.02,Valuation,2.1059602649006623
Gross Profit Margin (TTM),0.6597,0.6196,Profitability,1.064719173660426
Operating Profit Margin (TTM),0.0951,0.047,Profitability,2.023404255319149
Net Profit Margin (TTM),0.0824,0.009300000000000001,Profitability,8.86021505376344
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.9676000000000001,-0.4858,Gowth rates,-1.9917661589131332
EPS Growth (TTM),-0.6207,-0.2029,Gowth rates,3.0591424346968954
Revenue Growth (MRQ),0.1054,0.1161,Gowth rates,0.9078380706287683
Revenue Growth (TTM),0.20420000000000002,0.18300000000000002,Gowth rates,1.1158469945355192
Return On Equity (TTM),0.1161,0.1068,Effectiveness,1.0870786516853932
Return On Assets (TTM),0.0475,0.0622,Effectiveness,0.7636655948553055
Return On Investment (TTM),0.0572,0.0732,Effectiveness,0.7814207650273224
Revenue Per Employee (TTM),443302.0,403586.0,Effectiveness,1.0984077743033702
Total Debt/Total Capital (MRQ),0.5266,0.3161,Financial strength,1.665928503638089
Change in Debt/Total Capital Quarter over Quarter,0.0012,0.0125,Financial strength,0.09599999999999999
Quick Ratio (MRQ),3.43,2.25,Financial strength,1.5244444444444445
Interest Coverage (MRQ),113.46,14.99,Financial strength,7.569046030687124
