,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,133.4,81.38,,,,,
low,35.35,26.0,,,,,
change,0.9357,-0.6593000000000001,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,1713.0,465.0,72.0,24.0,Balance Sheet
Short Term Investments,,,,1090.0,1094.0,801.0,Balance Sheet
Cash and Short Term Invs,,,1713.0,1555.0,1166.0,825.0,Balance Sheet
"Trade Accts Recvble, Gross",,,44.0,48.0,49.0,59.0,Balance Sheet
Prov. for Doubtful Accts,,,-4.0,-5.0,-5.0,-6.0,Balance Sheet
"Total Receivables, Net",,,40.0,43.0,44.0,52.0,Balance Sheet
Prepaid Expenses,,,17.0,14.0,21.0,31.0,Balance Sheet
Total Current Assets,,,1770.0,1612.0,1231.0,908.0,Balance Sheet
Buildings,,,7.0,7.0,7.0,,Balance Sheet
Machinery/Equipment,,,556.0,586.0,617.0,,Balance Sheet
Other Prop./Plant/Equip.,,,2.0,2.0,2.0,,Balance Sheet
Prop./Plant/Equip. - Gross,,,564.0,595.0,626.0,,Balance Sheet
Accumulated Depreciation,,,-314.0,-335.0,-357.0,,Balance Sheet
Prop./Plant/Equip. - Net,,,250.0,259.0,268.0,271.0,Balance Sheet
"Goodwill, Net",,,32.0,32.0,32.0,315.0,Balance Sheet
Intangibles - Net,,,43.0,46.0,52.0,123.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,0.0,0.0,0.0,0.0,Balance Sheet
Restricted Cash - LT,,,2.0,2.0,2.0,2.0,Balance Sheet
Other Long Term Assets,,,4.0,5.0,5.0,5.0,Balance Sheet
Total Assets,,,2101.0,1957.0,1591.0,1624.0,Balance Sheet
Accounts Payable,,,13.0,16.0,18.0,12.0,Balance Sheet
Accrued Expenses,,,32.0,26.0,39.0,37.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,0.0,,,,Balance Sheet
Customer Advances,,,5.0,5.0,5.0,5.0,Balance Sheet
Income Taxes Payable,,,7.0,,,,Balance Sheet
Other Current Liabilities,,,2.0,15.0,13.0,45.0,Balance Sheet
"Other Curr. Lblts, Total",,,14.0,20.0,17.0,50.0,Balance Sheet
Total Current Liabilities,,,58.0,62.0,74.0,99.0,Balance Sheet
Total Long Term Debt,,,1463.0,1465.0,1467.0,1468.0,Balance Sheet
Total Debt,,,1463.0,1465.0,1467.0,1468.0,Balance Sheet
Deferred Income Tax,,,0.0,0.0,0.0,22.0,Balance Sheet
"Other Liabilities, Total",,,1.0,2.0,1.0,4.0,Balance Sheet
Total Liabilities,,,1523.0,1529.0,1542.0,1593.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,770.0,639.0,269.0,235.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-187.0,-205.0,-211.0,-201.0,Balance Sheet
Treasury Stock - Common,,,-5.0,-5.0,-5.0,0.0,Balance Sheet
"Other Equity, Total",,,0.0,-2.0,-5.0,-4.0,Balance Sheet
Total Equity,,,578.0,428.0,48.0,30.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,2101.0,1957.0,1591.0,1624.0,Balance Sheet
Ttl Comm. Shares Outs.,,,107.0,106.0,97.0,96.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,2.0,2.0,2.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,119662.0,127327.0,133882.0,152115.0,Income Statement
"Cost of Revenue, Total",,,44400.0,46757.0,47246.0,54536.0,Income Statement
Selling/Gen/Admin Expense,,,34841.0,40639.0,40016.0,43078.0,Income Statement
Labor & Related Expense,,,14326.0,15829.0,17041.0,14866.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,49167.0,56468.0,57057.0,57944.0,Income Statement
Research & Development,,,36234.0,37241.0,36956.0,30243.0,Income Statement
Unusual Expense (Income),,,0.0,407.0,0.0,0.0,Income Statement
Total Operating Expense,,,129801.0,140873.0,141259.0,142723.0,Income Statement
Total Operating Income,,,-10139.0,-13546.0,-7377.0,9392.0,Income Statement
"Inter Expse,Net Non-Operat",,,-1069.0,-2059.0,-2095.0,-2127.0,Income Statement
OtherNon-OperatInc (Expnse),,,7.0,820.0,2112.0,3274.0,Income Statement
"Other, Net",,,7.0,820.0,2112.0,3274.0,Income Statement
Income Before Tax,,,-11201.0,-14785.0,-7360.0,10539.0,Income Statement
Income Tax - Total,,,924.0,3338.0,-1169.0,442.0,Income Statement
Income After Tax,,,-12125.0,-18123.0,-6191.0,10097.0,Income Statement
Net Inc Before Extra Items,,,-12125.0,-18123.0,-6191.0,10097.0,Income Statement
Total Net Income,,,-12125.0,-18123.0,-6191.0,10097.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-12125.0,-18123.0,-6191.0,10097.0,Income Statement
