,DOCN
% Above Low,0.0654
% Held by Institutions,0.5327000000000001
52-Wk Range,['26.00 - 106.40']
Annual Dividend $,
Annual Dividend %,
Ask,35.0
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,
Bid,27.5
Bid Size,300.0
Closing Price,27.7
Day Change $,-0.47
Day Change %,-0.0167
Day High,28.05
Day Low,27.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.25
Ex-dividend Date,No dividend
Historical Volatility,0.872
Last (size),80.0
Last (time),5:00p ET 11/25/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,28.17
Short Interest,0.1297
Today's Open,27.84
Volume,391117.0
Volume 10-day Avg,1326972.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,1.5483870967741935
Growth 1yr High Est,1.3611111111111112
Growth 1yr Consensus Est,1.4547491039426523
Growth 2yr Low Est,0.9197631686402613
Growth 2yr High Est,0.9452614379084968
Growth 2yr Consensus Est,0.9325123032743791
Growth 5yr Low Est,0.9197631686402613
Growth 5yr High Est,0.9452614379084968
Growth 5yr Consensus Est,0.9325123032743791
Growth 5yr Actual/Est,0.9131994261119081
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),5.00469
Price/Book (MRQ),88.21405
Price/Cash Flow (TTM),37.56467
5yr Low,26.0
5yr High,133.4
5yr Avg Return,0.13819999999999993
Short Int Current Month,8869050.0
Short Int Prev Month,8779684.0
Short Int Pct of Float,0.12969920000000001
Days to Cover,3.73258
Float,68.40427
Shares Outstanding,96.2971
Institutions Holding Shares,343.0
FCF Growth 5yr,4.244658119658119
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.638
Operating Profit Margin (TTM),-0.04070000000000001
Net Profit Margin (TTM),-0.049400000000000006
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.5932
EPS Growth (TTM),-0.09210000000000002
Revenue Growth (MRQ),0.1362
Revenue Growth (TTM),0.34450000000000003
Return On Equity (TTM),-0.0562
Return On Assets (TTM),-0.0203
Return On Investment (TTM),-0.0217
Revenue Per Employee (TTM),678099.0
Total Debt/Total Capital (MRQ),0.9798000000000001
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.69
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-05-05 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
theStreet since,2022-05-05 00:00:00
newConstructs since,
marketEdge opinion since,
