,DOCN
% Above Low,0.0654
% Held by Institutions,0.5327000000000001
52-Wk Range,['26.00 - 106.40']
Annual Dividend $,
Annual Dividend %,
Ask,35.0
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,
Bid,27.5
Bid Size,300.0
Closing Price,27.7
Day Change $,-0.47
Day Change %,-0.0167
Day High,28.05
Day Low,27.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.25
Ex-dividend Date,No dividend
Historical Volatility,0.872
Last (size),80.0
Last (time),5:00p ET 11/25/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,28.17
Shares Outstanding,96.3M
Short Interest,0.1297
Today's Open,27.84
Volume,391117.0
Volume 10-day Avg,1326972.0
Volume Past Day,(Light)
