,DOCN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),5.0,19.35,Valuation,0.25839793281653745
Price/Book (MRQ),88.21,19.03,Valuation,4.635312664214398
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.638,0.44520000000000004,Profitability,1.4330637915543576
Operating Profit Margin (TTM),-0.04070000000000001,0.3027,Profitability,-0.13445655764783615
Net Profit Margin (TTM),-0.049400000000000006,0.23600000000000002,Profitability,-0.2093220338983051
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),2.5932,-3.5569,Gowth rates,-0.7290618234979898
EPS Growth (TTM),-0.09210000000000002,0.15560000000000002,Gowth rates,-0.5919023136246787
Revenue Growth (MRQ),0.1362,0.16460000000000002,Gowth rates,0.8274605103280679
Revenue Growth (TTM),0.34450000000000003,0.2273,Gowth rates,1.515618125824901
Return On Equity (TTM),-0.0562,0.5459,Effectiveness,-0.10294925810588018
Return On Assets (TTM),-0.0203,0.1131,Effectiveness,-0.17948717948717946
Return On Investment (TTM),-0.0217,0.18910000000000002,Effectiveness,-0.11475409836065573
Revenue Per Employee (TTM),678099.0,686074.0,Effectiveness,0.9883758894813096
Total Debt/Total Capital (MRQ),0.9798000000000001,0.5613,Financial strength,1.7455905932656335
Change in Debt/Total Capital Quarter over Quarter,,0.0048,Financial strength,
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),5.69,27.21,Financial strength,0.209114296214627
