,REZI
% Above Low,0.0622
% Held by Institutions,0.9366
52-Wk Range,['14.95 - 28.00']
Annual Dividend $,
Annual Dividend %,
Ask,15.89
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,2.0
Bid,15.84
Bid Size,200.0
Day Change $,-0.27
Day Change %,-0.0167
Day High,16.1
Day Low,15.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.09
Ex-dividend Date,No dividend
Historical Volatility,0.5920000000000001
Last (size),100.0
Last (time),12:36p ET 11/28/22
Market Cap,2.3B
"P/E Ratio (TTM, GAAP)",7.73
Prev Close,16.15
Price,15.88
Short Interest,0.016200000000000003
Today's Open,15.99
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.32191780821917804
Growth 1yr High Est,0.9386503067484664
Growth 1yr Consensus Est,0.6302840574838222
Growth 2yr Low Est,0.1713215984101072
Growth 2yr High Est,0.4914770521084103
Growth 2yr Consensus Est,0.33139932525925875
Growth 5yr Low Est,0.1713215984101072
Growth 5yr High Est,0.4914770521084103
Growth 5yr Consensus Est,0.33139932525925875
Growth 5yr Actual/Est,1.0672450478570812
Growth 3yr Historic,0.9710815047021943
Price/Earnings (TTM),7.73308
Price/Sales (TTM),0.37602
Price/Book (MRQ),0.98137
Price/Cash Flow (TTM),5.87376
5yr Low,3.72
5yr High,33.25
5yr Avg Return,-0.03871999999999999
EPS Growth 5yr,0.026013099999999997
Revenue Growth 5yr,0.05585
Dividend Growth 5yr,
Short Int Current Month,2332537.0
Short Int Prev Month,2795947.0
Short Int Pct of Float,0.0161969
Days to Cover,2.15721
Float,143.9903
Shares Outstanding,145.8439
Institutions Holding Shares,432.0
FCF Growth 5yr,-0.7522130647130648
"Price/Earnings (TTM, GAAP)",7.73
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2757
Operating Profit Margin (TTM),0.0782
Net Profit Margin (TTM),0.0496
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.33130000000000004
EPS Growth (TTM),0.2929
Revenue Growth (MRQ),-0.0403
Revenue Growth (TTM),0.063
Return On Equity (TTM),0.1365
Return On Assets (TTM),0.0514
Return On Investment (TTM),0.0689
Revenue Per Employee (TTM),470977.0
Total Debt/Total Capital (MRQ),0.3716
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),0.97
Interest Coverage (MRQ),10.33
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-03-30 00:00:00
theStreet since,2021-03-30 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
marketEdge opinion since,
