,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,32.55,26.4,22.85,33.25,27.46,,,,,
low,18.77,8.6,3.72,20.31,14.95,,,,,
change,-0.3578,-0.4114,0.7717,0.20120000000000002,-0.3973,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,779.0,244.0,251.0,252.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,,1084.0,1052.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,,-11.0,-9.0,Balance Sheet
"Total Receivables, Net",,,,,,876.0,1008.0,1073.0,1043.0,Balance Sheet
Invent. - Finished Goods,,,,,,549.0,624.0,683.0,676.0,Balance Sheet
Invent. - Work In Progress,,,,,,17.0,25.0,24.0,25.0,Balance Sheet
Invent. - Raw Materials,,,,,,174.0,273.0,264.0,256.0,Balance Sheet
Total Inventory,,,,,,740.0,922.0,971.0,957.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,146.0,165.0,186.0,198.0,Balance Sheet
Total Current Assets,,,,,,2541.0,2339.0,2481.0,2450.0,Balance Sheet
Buildings,,,,,,,,297.0,292.0,Balance Sheet
Machinery/Equipment,,,,,,,,641.0,625.0,Balance Sheet
Construction in Progress,,,,,,,,60.0,64.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,,180.0,194.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,,1178.0,1175.0,Balance Sheet
Accumulated Depreciation,,,,,,,,-643.0,-637.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,428.0,514.0,535.0,538.0,Balance Sheet
"Goodwill, Net",,,,,,2541.0,3125.0,2695.0,2678.0,Balance Sheet
Intangibles - Gross,,,,,,,,716.0,711.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,,-253.0,-251.0,Balance Sheet
Intangibles - Net,,,,,,120.0,,463.0,460.0,Balance Sheet
Other Long Term Assets,,,,,,223.0,267.0,142.0,136.0,Balance Sheet
Total Assets,,,,,,5853.0,6245.0,6316.0,6262.0,Balance Sheet
Accounts Payable,,,,,,883.0,958.0,987.0,936.0,Balance Sheet
Accrued Expenses,,,,,,547.0,497.0,528.0,561.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,10.0,12.0,12.0,12.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,54.0,79.0,52.0,33.0,Balance Sheet
Total Current Liabilities,,,,,,1494.0,1546.0,1579.0,1542.0,Balance Sheet
