,TA
% Below High,0.214
% Held by Institutions,0.6812999999999999
52-Wk Range,['31.19 - 65.33']
Annual Dividend $,
Annual Dividend %,
Ask,51.44
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,51.32
Bid Size,100.0
Day Change $,-0.22
Day Change %,-0.0043
Day High,52.62
Day Low,51.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.77
Ex-dividend Date,No dividend
Historical Volatility,0.6020000000000001
Last (size),3.0
Last (time),3:56p ET 11/28/22
Market Cap,761.4M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",5.88
Prev Close,51.57
Price,51.35
Short Interest,0.042699999999999995
Today's Open,51.65
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-4.716049382716049
Growth 1yr High Est,-4.876543209876543
Growth 1yr Consensus Est,-4.796296296296296
Growth 2yr Low Est,-2.5994421885894754
Growth 2yr High Est,-2.6367854053629
Growth 2yr Consensus Est,-2.6181137969761874
Growth 5yr Low Est,-1.2997210942947377
Growth 5yr High Est,-1.31839270268145
Growth 5yr Consensus Est,-1.3090568984880937
Growth 5yr Actual/Est,-0.7838095384204418
Growth 3yr Historic,-0.985277564243356
Price/Earnings (TTM),5.87921
Price/Sales (TTM),0.07495
Price/Book (MRQ),0.92898
Price/Cash Flow (TTM),3.26556
5yr Low,5.51
5yr High,65.33
5yr Avg Return,0.19503333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.0612181
Dividend Growth 5yr,
Short Int Current Month,584378.0
Short Int Prev Month,628038.0
Short Int Pct of Float,0.0426599
Days to Cover,2.75342
Float,13.69853
Shares Outstanding,14.85359
Institutions Holding Shares,202.0
FCF Growth 5yr,2.3975753099335972
"Price/Earnings (TTM, GAAP)",5.88
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1746
Operating Profit Margin (TTM),0.0206
Net Profit Margin (TTM),0.012700000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4227
EPS Growth (TTM),2.2988999999999997
Revenue Growth (MRQ),-0.087
Revenue Growth (TTM),0.5509000000000001
Return On Equity (TTM),0.16670000000000001
Return On Assets (TTM),0.0358
Return On Investment (TTM),0.043
Revenue Per Employee (TTM),717244.0
Total Debt/Total Capital (MRQ),0.4081
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.13
Interest Coverage (MRQ),5.83
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-05-04 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
