,HWC
% Below High,0.0943
% Held by Institutions,0.8119
52-Wk Range,['41.62 - 59.82']
Annual Dividend $,1.08
Annual Dividend %,0.0199
Ask,54.62
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,53.74
Bid Size,100.0
Closing Price,54.18
Day Change $,0.41
Day Change %,0.0076
Day High,54.59
Day Low,53.58
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.88
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.324
Last (size),41.0
Last (time),1:00p ET 11/25/22
Market Cap,4.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.21
Prev Close,53.77
Short Interest,0.0239
Today's Open,54.07
Volume,117345.0
Volume 10-day Avg,382332.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.19591836734693868
Growth 1yr High Est,0.17843137254901964
Growth 1yr Consensus Est,0.18717486994797916
Growth 2yr Low Est,0.033112767291216705
Growth 2yr High Est,0.1432922253760074
Growth 2yr Consensus Est,0.08820249633361205
Growth 5yr Low Est,0.07747008922936471
Growth 5yr High Est,0.12887502835065423
Growth 5yr Consensus Est,0.10317255879000947
Growth 5yr Actual/Est,-2.9072940338750533
Growth 3yr Historic,-2.9503325020781377
Price/Earnings (TTM),9.20829
Price/Sales (TTM),3.49657
Price/Book (MRQ),1.45969
Price/Cash Flow (TTM),8.24217
5yr Low,14.32
5yr High,59.82
5yr Avg Return,0.04263333333333333
EPS Growth 5yr,0.22791129999999998
Revenue Growth 5yr,0.060530299999999995
Dividend Growth 5yr,0.0238363
Short Int Current Month,2027200.0
Short Int Prev Month,2261568.0
Short Int Pct of Float,0.0239087
Days to Cover,4.53161
Float,84.89967
Shares Outstanding,85.6933
Institutions Holding Shares,399.0
FCF Growth 5yr,0.20326272570567105
"Price/Earnings (TTM, GAAP)",9.21
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4851
Net Profit Margin (TTM),0.3901
Annual Dividend Yield,0.0199
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0192
EPS Growth (MRQ),0.11960000000000001
EPS Growth (TTM),0.2101
Revenue Growth (MRQ),0.1761
Revenue Growth (TTM),0.0294
Return On Equity (TTM),0.1497
Return On Assets (TTM),0.0148
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-04-21 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-08 00:00:00
cfra since,
marketEdge opinion since,
