,EIX
% Below High,0.124
% Held by Institutions,0.8876999999999999
52-Wk Range,['54.45 - 73.32']
Annual Dividend $,2.8
Annual Dividend %,0.0436
Ask,71.58
Ask Size,200.0
B/A Ratio,22.0
B/A Size,4400x200
Beta,0.8
Bid,58.0
Bid Size,4400.0
Closing Price,64.23
Day Change $,0.5
Day Change %,0.0078000000000000005
Day High,64.43
Day Low,63.81
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",1.89
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.268
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,24.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",33.92
Prev Close,63.73
Short Interest,0.0151
Today's Open,64.03
Volume,625948.0
Volume 10-day Avg,1487118.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.05581395348837215
Growth 1yr High Est,0.026607538802660757
Growth 1yr Consensus Est,0.04121074614551645
Growth 2yr Low Est,0.031210941501895406
Growth 2yr High Est,0.04786100482249667
Growth 2yr Consensus Est,0.039535973162196036
Growth 5yr Low Est,0.020230241500134055
Growth 5yr High Est,0.007134436158660329
Growth 5yr Consensus Est,0.013682338829397192
Growth 5yr Actual/Est,0.005215433117524482
Growth 3yr Historic,-0.005702786669177229
Price/Earnings (TTM),33.91791
Price/Sales (TTM),1.48339
Price/Book (MRQ),1.82838
Price/Cash Flow (TTM),7.46661
5yr Low,43.63
5yr High,81.96
5yr Avg Return,-0.01948333333333334
EPS Growth 5yr,-0.1268824
Revenue Growth 5yr,0.046606800000000004
Dividend Growth 5yr,0.0665689
Short Int Current Month,5749988.0
Short Int Prev Month,5789862.0
Short Int Pct of Float,0.015072200000000001
Days to Cover,3.15645
Float,381.5347
Shares Outstanding,381.8747
Institutions Holding Shares,990.0
FCF Growth 5yr,0.6807318066721691
"Price/Earnings (TTM, GAAP)",33.92
"PEG Ratio (TTM, GAAP)",7.71
Gross Profit Margin (TTM),0.3567
Operating Profit Margin (TTM),0.081
Net Profit Margin (TTM),0.0559
Annual Dividend Yield,0.04360000000000001
Dividend Change %,0.0392
"Dividend Growth Rate, 3 Years",0.030699999999999998
EPS Growth (MRQ),-1.5297
EPS Growth (TTM),-0.0556
Revenue Growth (MRQ),0.3044
Revenue Growth (TTM),0.1225
Return On Equity (TTM),0.0533
Return On Assets (TTM),0.0124
Return On Investment (TTM),0.0147
Revenue Per Employee (TTM),1271630.0
Total Debt/Total Capital (MRQ),0.6369
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),0.55
Interest Coverage (MRQ),3.27
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-20 00:00:00
cfra since,2019-03-01 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-07-30 00:00:00
