,WSC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",37.75,41.93,Valuation,0.9003100405437634
Price/Sales (TTM),4.66,1.42,Valuation,3.2816901408450705
Price/Book (MRQ),6.03,3.73,Valuation,1.616621983914209
"PEG Ratio (TTM, GAAP)",0.69,0.71,Valuation,0.9718309859154929
Gross Profit Margin (TTM),0.5288,0.0432,Profitability,12.24074074074074
Operating Profit Margin (TTM),0.22649999999999998,0.0655,Profitability,3.458015267175572
Net Profit Margin (TTM),0.1315,0.041299999999999996,Profitability,3.184019370460049
Annual Dividend Yield,,0.0045000000000000005,Dividend,
Dividend Change %,,0.127,Dividend,
"Dividend Growth Rate, 3 Years",,0.0315,Dividend,
EPS Growth (MRQ),0.3372,0.0989,Gowth rates,3.409504550050556
EPS Growth (TTM),2.7452,0.5874,Gowth rates,4.673476336397685
Revenue Growth (MRQ),0.1635,0.233,Gowth rates,0.7017167381974249
Revenue Growth (TTM),0.24059999999999998,0.2229,Gowth rates,1.079407806191117
Return On Equity (TTM),0.15539999999999998,0.1057,Effectiveness,1.4701986754966885
Return On Assets (TTM),0.049400000000000006,0.0404,Effectiveness,1.222772277227723
Return On Investment (TTM),0.054900000000000004,0.0584,Effectiveness,0.940068493150685
Revenue Per Employee (TTM),457502.0,447825.0,Effectiveness,1.021608887400212
Total Debt/Total Capital (MRQ),0.6369,0.40990000000000004,Financial strength,1.553793608197121
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.004,Financial strength,0.22499999999999998
Quick Ratio (MRQ),0.81,1.07,Financial strength,0.7570093457943925
Interest Coverage (MRQ),4.12,12.43,Financial strength,0.33145615446500404
