,WSC
Price/Earnings (TTM),37.75068
Price/Sales (TTM),4.66497
Price/Book (MRQ),6.03396
Price/Cash Flow (TTM),17.80597
5yr Low,7.45
5yr High,49.02
5yr Avg Return,0.35615
EPS Growth 5yr,
Revenue Growth 5yr,0.34744329999999995
Dividend Growth 5yr,
Short Int Current Month,4691214.0
Short Int Prev Month,8076889.0
Short Int Pct of Float,0.0231758
Days to Cover,1.97865
Float,202.2991
Shares Outstanding,208.8898
Institutions Holding Shares,469.0
% Held by Institutions,0.991866
FCF Growth 5yr,0.37059884559884565
