,WSC
% Below High,0.0355
% Held by Institutions,0.9919
52-Wk Range,['30.52 - 49.02']
Annual Dividend $,
Annual Dividend %,
Ask,47.58
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,47.12
Bid Size,100.0
Closing Price,47.28
Day Change $,-0.74
Day Change %,-0.0154
Day High,48.02
Day Low,47.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.27
Ex-dividend Date,No dividend
Historical Volatility,0.38799999999999996
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,9.9B
"P/E Ratio (TTM, GAAP)",37.75
Prev Close,48.02
Short Interest,0.0232
Today's Open,47.7
Volume,1555257.0
Volume 10-day Avg,1387111.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,1.0684931506849318
Growth 1yr High Est,1.0123456790123453
Growth 1yr Consensus Est,1.0404194148486385
Growth 2yr Low Est,0.521001542229883
Growth 2yr High Est,0.6779519806104671
Growth 2yr Consensus Est,0.599476761420175
Growth 5yr Low Est,0.7989472647123952
Growth 5yr High Est,0.44790294642323825
Growth 5yr Consensus Est,0.6234251055678167
Growth 5yr Actual/Est,0.5426370974665987
Growth 3yr Historic,0.25423441734417346
Price/Earnings (TTM),37.75068
Price/Sales (TTM),4.66497
Price/Book (MRQ),6.03396
Price/Cash Flow (TTM),17.80597
5yr Low,7.45
5yr High,49.02
5yr Avg Return,0.35615
EPS Growth 5yr,
Revenue Growth 5yr,0.34744329999999995
Dividend Growth 5yr,
Short Int Current Month,4691214.0
Short Int Prev Month,8076889.0
Short Int Pct of Float,0.0231758
Days to Cover,1.97865
Float,202.2991
Shares Outstanding,208.8898
Institutions Holding Shares,469.0
FCF Growth 5yr,0.37059884559884565
"Price/Earnings (TTM, GAAP)",37.75
"PEG Ratio (TTM, GAAP)",0.69
Gross Profit Margin (TTM),0.5288
Operating Profit Margin (TTM),0.22649999999999998
Net Profit Margin (TTM),0.1315
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3372
EPS Growth (TTM),2.7452
Revenue Growth (MRQ),0.1635
Revenue Growth (TTM),0.24059999999999998
Return On Equity (TTM),0.15539999999999998
Return On Assets (TTM),0.049400000000000006
Return On Investment (TTM),0.054900000000000004
Revenue Per Employee (TTM),457502.0
Total Debt/Total Capital (MRQ),0.6369
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),0.81
Interest Coverage (MRQ),4.12
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2021-10-14 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
