,CARE
% Below High,0.0273
% Held by Institutions,0.3924
52-Wk Range,['12.58 - 18.84']
Annual Dividend $,
Annual Dividend %,
Ask,18.77
Ask Size,200.0
B/A Ratio,3.5
B/A Size,700x200
Beta,1.0
Bid,18.32
Bid Size,700.0
Closing Price,18.32
Day Change $,0.07
Day Change %,0.0038
Day High,18.38
Day Low,18.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.278
Last (size),12.0
Last (time),1:00p ET 11/25/22
Market Cap,441.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,18.25
Shares Outstanding,24.1M
Short Interest,0.0076
Today's Open,18.34
Volume,11012.0
Volume 10-day Avg,39583.0
Volume Past Day,(Light)
