,CARE
% Below High,0.0273
% Held by Institutions,0.3924
52-Wk Range,['12.58 - 18.84']
Annual Dividend $,
Annual Dividend %,
Ask,18.77
Ask Size,200.0
B/A Ratio,3.5
B/A Size,700x200
Beta,1.0
Bid,18.32
Bid Size,700.0
Closing Price,18.32
Day Change $,0.07
Day Change %,0.0038
Day High,18.38
Day Low,18.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.278
Last (size),12.0
Last (time),1:00p ET 11/25/22
Market Cap,441.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,18.25
Short Interest,0.0076
Today's Open,18.34
Volume,11012.0
Volume 10-day Avg,39583.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-2.0659340659340657
Growth 1yr High Est,-2.198830409356725
Growth 1yr Consensus Est,-2.1323822376453956
Growth 2yr Low Est,-0.953070125750538
Growth 2yr High Est,-0.9652688632149478
Growth 2yr Consensus Est,-0.9591694944827429
Growth 5yr Low Est,-0.6353800838336919
Growth 5yr High Est,-0.6435125754766319
Growth 5yr Consensus Est,-0.6394463296551619
Growth 5yr Actual/Est,-0.8839401957437123
Growth 3yr Historic,-1.103106862410379
Price/Earnings (TTM),
Price/Sales (TTM),3.35389
Price/Book (MRQ),1.09814
Price/Cash Flow (TTM),
5yr Low,6.3
5yr High,24.25
5yr Avg Return,0.09341666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.0154822
Dividend Growth 5yr,
Short Int Current Month,177579.0
Short Int Prev Month,218197.0
Short Int Pct of Float,0.0076294
Days to Cover,2.9261
Float,23.2902
Shares Outstanding,24.10978
Institutions Holding Shares,129.0
FCF Growth 5yr,-4.166475619084247
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.34240000000000004
Net Profit Margin (TTM),-0.3482
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.051
EPS Growth (TTM),-2.7224
Revenue Growth (MRQ),-0.014199999999999999
Revenue Growth (TTM),-0.1142
Return On Equity (TTM),-0.10039999999999999
Return On Assets (TTM),-0.011200000000000002
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
