,CARE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,11.43,Valuation,
Price/Sales (TTM),3.35,3.3,Valuation,1.0151515151515151
Price/Book (MRQ),1.1,1.46,Valuation,0.7534246575342467
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),-0.34240000000000004,0.34240000000000004,Profitability,-1.0
Net Profit Margin (TTM),-0.3482,0.2812,Profitability,-1.2382645803698435
Annual Dividend Yield,,0.028700000000000003,Dividend,
Dividend Change %,,-0.0086,Dividend,
"Dividend Growth Rate, 3 Years",,0.0734,Dividend,
EPS Growth (MRQ),1.051,-0.0335,Gowth rates,-31.373134328358205
EPS Growth (TTM),-2.7224,-0.09960000000000001,Gowth rates,27.333333333333332
Revenue Growth (MRQ),-0.014199999999999999,0.5429,Gowth rates,-0.026155829802910292
Revenue Growth (TTM),-0.1142,0.2466,Gowth rates,-0.4630981346309813
Return On Equity (TTM),-0.10039999999999999,0.1135,Effectiveness,-0.8845814977973567
Return On Assets (TTM),-0.011200000000000002,0.0099,Effectiveness,-1.1313131313131315
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,,0.0009,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
