,UUUU
% Above Low,0.3518
% Held by Institutions,0.4244
52-Wk Range,['4.69 - 11.00']
Annual Dividend $,
Annual Dividend %,
Ask,6.32
Ask Size,3800.0
B/A Ratio,0.3157894736842105
B/A Size,1200x3800
Beta,1.6
Bid,6.29
Bid Size,1200.0
Closing Price,6.34
Day Change $,-0.47
Day Change %,-0.069
Day High,6.72
Day Low,6.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.09
Ex-dividend Date,No dividend
Historical Volatility,0.816
Last (size),1.0
Last (time),8:00p ET 11/28/22
Market Cap,999.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.81
Short Interest,0.1348
Today's Open,6.72
Volume,1566847.0
Volume 10-day Avg,1774251.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6097560975609756
Growth 2yr High Est,-6.625
Growth 2yr Consensus Est,-3.6173780487804876
Growth 5yr Low Est,-0.6097560975609756
Growth 5yr High Est,-6.625
Growth 5yr Consensus Est,-3.6173780487804876
Growth 5yr Actual/Est,-0.2542995169082125
Growth 3yr Historic,-0.01999999999999999
Price/Earnings (TTM),
Price/Sales (TTM),76.68993
Price/Book (MRQ),4.21103
Price/Cash Flow (TTM),
5yr Low,0.78
5yr High,11.39
5yr Avg Return,0.33635
EPS Growth 5yr,
Revenue Growth 5yr,-0.43345750000000005
Dividend Growth 5yr,
Short Int Current Month,20918726.0
Short Int Prev Month,22346897.0
Short Int Pct of Float,0.1348396
Days to Cover,8.9666
Float,155.138
Shares Outstanding,157.6254
Institutions Holding Shares,212.0
FCF Growth 5yr,0.2545426287659274
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-08-17 00:00:00
cfra since,
ford since,2022-11-04 00:00:00
newConstructs since,
marketEdge opinion since,
