,NOVT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",78.87,21.62,Valuation,3.6480111008325626
Price/Sales (TTM),6.77,5.43,Valuation,1.2467771639042358
Price/Book (MRQ),10.5,5.49,Valuation,1.9125683060109289
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.43590000000000007,0.33659999999999995,Profitability,1.2950089126559718
Operating Profit Margin (TTM),0.1164,-0.0824,Profitability,-1.412621359223301
Net Profit Margin (TTM),0.0862,-0.1173,Profitability,-0.7348678601875532
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),0.28690000000000004,0.1058,Gowth rates,2.7117202268431004
EPS Growth (TTM),0.4696,-0.0147,Gowth rates,-31.94557823129252
Revenue Growth (MRQ),0.0353,0.1655,Gowth rates,0.2132930513595166
Revenue Growth (TTM),0.2841,0.1855,Gowth rates,1.5315363881401618
Return On Equity (TTM),0.1392,0.23850000000000002,Effectiveness,0.5836477987421382
Return On Assets (TTM),0.06,0.0752,Effectiveness,0.7978723404255319
Return On Investment (TTM),0.07,0.1041,Effectiveness,0.6724303554274736
Revenue Per Employee (TTM),311663.0,449465.0,Effectiveness,0.6934088304984816
Total Debt/Total Capital (MRQ),0.4526,0.3575,Financial strength,1.266013986013986
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0362,Financial strength,-0.0027624309392265192
Quick Ratio (MRQ),1.55,1.53,Financial strength,1.0130718954248366
Interest Coverage (MRQ),15.33,15.46,Financial strength,0.9915912031047865
