,NOVT
% Below High,0.1013
% Held by Institutions,1.0092
52-Wk Range,['110.84 - 177.50']
Annual Dividend $,
Annual Dividend %,
Ask,167.66
Ask Size,100.0
Ask close,198.9
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,1.0
Bid Size,200.0
Bid close,121.45
Change Since Close,-4.77| |(-2.99%)
Closing Price,159.52
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.02
Ex-dividend Date,No dividend
Historical Volatility,0.413
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,154.75
Market Cap,5.7B
"P/E Ratio (TTM, GAAP)",78.87
Prev Close,159.52
Short Interest,0.0461
Today's Open,
Volume,1.0
Volume 10-day Avg,207024.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.16666666666666652
Growth 1yr High Est,0.17692307692307696
Growth 1yr Consensus Est,0.17179487179487174
Growth 2yr Low Est,0.1232004429678848
Growth 2yr High Est,0.14401709401709406
Growth 2yr Consensus Est,0.13360876849248943
Growth 5yr Low Est,0.11300209064282091
Growth 5yr High Est,0.1243341284038959
Growth 5yr Consensus Est,0.1186681095233584
Growth 5yr Actual/Est,0.12844856272463442
Growth 3yr Historic,0.06370117421519292
Price/Earnings (TTM),78.87463
Price/Sales (TTM),6.76574
Price/Book (MRQ),10.49998
Price/Cash Flow (TTM),45.0694
5yr Low,43.65
5yr High,184.44
5yr Avg Return,0.22545
EPS Growth 5yr,0.1741931
Revenue Growth 5yr,0.1293301
Dividend Growth 5yr,
Short Int Current Month,1631451.0
Short Int Prev Month,1562845.0
Short Int Pct of Float,0.0461352
Days to Cover,7.24413
Float,35.38178
Shares Outstanding,35.69021
Institutions Holding Shares,338.0
FCF Growth 5yr,1.061632528789672
"Price/Earnings (TTM, GAAP)",78.87
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.43590000000000007
Operating Profit Margin (TTM),0.1164
Net Profit Margin (TTM),0.0862
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.28690000000000004
EPS Growth (TTM),0.4696
Revenue Growth (MRQ),0.0353
Revenue Growth (TTM),0.2841
Return On Equity (TTM),0.1392
Return On Assets (TTM),0.06
Return On Investment (TTM),0.07
Revenue Per Employee (TTM),311663.0
Total Debt/Total Capital (MRQ),0.4526
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),1.55
Interest Coverage (MRQ),15.33
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-03-04 00:00:00
theStreet since,2022-08-08 00:00:00
ford since,2022-03-04 00:00:00
cfra since,
marketEdge opinion since,
