,OFG
% Below High,0.064
% Held by Institutions,0.9172
52-Wk Range,['23.82 - 30.93']
Annual Dividend $,0.8
Annual Dividend %,0.0276
Ask,37.05
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,11.58
Bid Size,100.0
Closing Price,28.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-17 00:00:00
"EPS (TTM, GAAP)",3.13
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.311
Last (size),22.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.25
Prev Close,28.95
Short Interest,0.0098
Today's Open,
Volume,42627.0
Volume 10-day Avg,232063.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.16783216783216792
Growth 1yr High Est,0.16382252559726962
Growth 1yr Consensus Est,0.16582734671471877
Growth 2yr Low Est,0.0734370419999163
Growth 2yr High Est,0.13176463523265236
Growth 2yr Consensus Est,0.10260083861628433
Growth 5yr Low Est,0.43784691688883304
Growth 5yr High Est,0.47264701172372897
Growth 5yr Consensus Est,0.45524696430628103
Growth 5yr Actual/Est,0.45195939522892353
Growth 3yr Historic,0.39089262187088275
Price/Earnings (TTM),9.24642
Price/Sales (TTM),2.34362
Price/Book (MRQ),1.38545
Price/Cash Flow (TTM),7.80411
5yr Low,8.5
5yr High,30.93
5yr Avg Return,0.23721666666666663
EPS Growth 5yr,0.2229653
Revenue Growth 5yr,0.0472574
Dividend Growth 5yr,0.0783788
Short Int Current Month,453090.0
Short Int Prev Month,620334.0
Short Int Pct of Float,0.009801800000000001
Days to Cover,1.90336
Float,46.23089
Shares Outstanding,47.56327
Institutions Holding Shares,263.0
FCF Growth 5yr,0.35650635513649204
"Price/Earnings (TTM, GAAP)",9.25
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3822
Net Profit Margin (TTM),0.2607
Annual Dividend Yield,0.0276
Dividend Change %,0.25
"Dividend Growth Rate, 3 Years",0.134
EPS Growth (MRQ),0.0468
EPS Growth (TTM),0.21489999999999998
Revenue Growth (MRQ),0.10189999999999999
Revenue Growth (TTM),0.0731
Return On Equity (TTM),0.1496
Return On Assets (TTM),0.0148
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-10-26 00:00:00
ford since,2022-08-26 00:00:00
cfra since,
marketEdge opinion since,
