,NCBS
% Above Low,0.1686
% Held by Institutions,0.38380000000000003
52-Wk Range,['69.46 - 98.20']
Annual Dividend $,
Annual Dividend %,
Ask,95.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.8
Bid,70.4
Bid Size,200.0
Closing Price,81.17
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.97
Ex-dividend Date,No dividend
Historical Volatility,0.245
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",13.59
Prev Close,81.17
Short Interest,0.0178
Today's Open,
Volume,6551.0
Volume 10-day Avg,20577.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.33001988071570576
Growth 1yr High Est,0.17098445595854916
Growth 1yr Consensus Est,0.25050216833712746
Growth 2yr Low Est,0.26665418549985587
Growth 2yr High Est,0.20864857016216531
Growth 2yr Consensus Est,0.2376513778310106
Growth 5yr Low Est,0.11342437641864017
Growth 5yr High Est,0.11548585663035682
Growth 5yr Consensus Est,0.1144551165244985
Growth 5yr Actual/Est,0.11360976229171238
Growth 3yr Historic,-0.00325133485888629
Price/Earnings (TTM),13.59081
Price/Sales (TTM),4.18646
Price/Book (MRQ),1.26912
Price/Cash Flow (TTM),11.39871
5yr Low,45.33
5yr High,98.2
5yr Avg Return,0.07716666666666666
EPS Growth 5yr,0.1805995
Revenue Growth 5yr,0.1785046
Dividend Growth 5yr,
Short Int Current Month,227603.0
Short Int Prev Month,267247.0
Short Int Pct of Float,0.017838
Days to Cover,8.36776
Float,12.76742
Shares Outstanding,14.67691
Institutions Holding Shares,176.0
FCF Growth 5yr,0.4113326929609992
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-08-12 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
