,COHR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",93.69,21.62,Valuation,4.333487511563367
Price/Sales (TTM),1.32,5.43,Valuation,0.24309392265193372
Price/Book (MRQ),1.12,5.49,Valuation,0.2040072859744991
"PEG Ratio (TTM, GAAP)",7.19,14.73,Valuation,0.4881194840461643
Gross Profit Margin (TTM),0.3628,0.33659999999999995,Profitability,1.0778371954842545
Operating Profit Margin (TTM),0.0805,-0.0824,Profitability,-0.9769417475728156
Net Profit Margin (TTM),0.0315,-0.1173,Profitability,-0.26854219948849106
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),-3.4182,0.1058,Gowth rates,-32.30812854442344
EPS Growth (TTM),-0.8362,-0.0147,Gowth rates,56.884353741496604
Revenue Growth (MRQ),0.5159,0.1655,Gowth rates,3.1172205438066465
Revenue Growth (TTM),0.21850000000000003,0.1855,Gowth rates,1.1778975741239894
Return On Equity (TTM),0.0092,0.23850000000000002,Effectiveness,0.03857442348008385
Return On Assets (TTM),0.012,0.0752,Effectiveness,0.1595744680851064
Return On Investment (TTM),0.0134,0.1041,Effectiveness,0.1287223823246878
Revenue Per Employee (TTM),163415.0,449465.0,Effectiveness,0.3635766967394569
Total Debt/Total Capital (MRQ),0.3923,0.3575,Financial strength,1.0973426573426572
Change in Debt/Total Capital Quarter over Quarter,0.0058,0.0362,Financial strength,0.1602209944751381
Quick Ratio (MRQ),1.73,1.53,Financial strength,1.130718954248366
Interest Coverage (MRQ),0.45,15.46,Financial strength,0.02910737386804657
