,COHR
% Above Low,0.23140000000000002
% Held by Institutions,0.867
52-Wk Range,['29.90 - 75.05']
Annual Dividend $,
Annual Dividend %,
Ask,36.82
Ask Size,200.0
B/A Ratio,13.5
B/A Size,2700x200
Beta,1.5
Bid,33.69
Bid Size,2700.0
Closing Price,36.82
Day Change $,-0.265
Day Change %,-0.0070999999999999995
Day High,37.12
Day Low,36.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.39
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),15.0
Last (time),1:00p ET 11/25/22
Market Cap,5.1B
"P/E Ratio (TTM, GAAP)",93.69
Prev Close,37.09
Short Interest,0.048499999999999995
Today's Open,36.63
Volume,371842.0
Volume 10-day Avg,1879548.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.041095890410958846
Growth 1yr High Est,0.09762532981530336
Growth 1yr Consensus Est,0.02826471970217226
Growth 2yr Low Est,0.012309197651663384
Growth 2yr High Est,0.25554343413842084
Growth 2yr Consensus Est,0.13392631589504211
Growth 5yr Low Est,0.01856394721033679
Growth 5yr High Est,0.1651674842308087
Growth 5yr Consensus Est,0.09186571572057274
Growth 5yr Actual/Est,0.13809468177347575
Growth 3yr Historic,0.07652274116927707
Price/Earnings (TTM),93.69434
Price/Sales (TTM),1.32087
Price/Book (MRQ),1.1157
Price/Cash Flow (TTM),12.7904
5yr Low,19.0
5yr High,100.44
5yr Avg Return,0.04881666666666669
EPS Growth 5yr,-0.0038908
Revenue Growth 5yr,0.2782084
Dividend Growth 5yr,
Short Int Current Month,6618646.0
Short Int Prev Month,6549168.0
Short Int Pct of Float,0.0485074
Days to Cover,2.90738
Float,136.446
Shares Outstanding,138.69
Institutions Holding Shares,544.0
FCF Growth 5yr,-0.5929164836773532
"Price/Earnings (TTM, GAAP)",93.69
"PEG Ratio (TTM, GAAP)",7.19
Gross Profit Margin (TTM),0.3628
Operating Profit Margin (TTM),0.0805
Net Profit Margin (TTM),0.0315
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-3.4182
EPS Growth (TTM),-0.8362
Revenue Growth (MRQ),0.5159
Revenue Growth (TTM),0.21850000000000003
Return On Equity (TTM),0.0092
Return On Assets (TTM),0.012
Return On Investment (TTM),0.0134
Revenue Per Employee (TTM),163415.0
Total Debt/Total Capital (MRQ),0.3923
Change in Debt/Total Capital Quarter over Quarter,0.0058
Quick Ratio (MRQ),1.73
Interest Coverage (MRQ),0.45
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
cfra since,2022-06-13 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-11-11 00:00:00
marketEdge opinion since,
