,AMK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.92,20.51,Valuation,0.9712335446123842
Price/Sales (TTM),3.0,12.46,Valuation,0.2407704654895666
Price/Book (MRQ),1.64,4.63,Valuation,0.3542116630669546
"PEG Ratio (TTM, GAAP)",,2.67,Valuation,
Gross Profit Margin (TTM),0.7286,0.5835,Profitability,1.2486718080548416
Operating Profit Margin (TTM),0.20989999999999998,0.269,Profitability,0.7802973977695166
Net Profit Margin (TTM),0.1506,0.1791,Profitability,0.8408710217755444
Annual Dividend Yield,,0.0257,Dividend,
Dividend Change %,,0.2049,Dividend,
"Dividend Growth Rate, 3 Years",,0.1213,Dividend,
EPS Growth (MRQ),0.1857,-0.2356,Gowth rates,-0.7882003395585738
EPS Growth (TTM),36.167500000000004,-0.0768,Gowth rates,-470.9309895833334
Revenue Growth (MRQ),0.0229,0.0931,Gowth rates,0.24597207303974222
Revenue Growth (TTM),0.20120000000000002,0.0447,Gowth rates,4.501118568232663
Return On Equity (TTM),0.0862,0.1783,Effectiveness,0.48345485137408867
Return On Assets (TTM),0.0637,0.0492,Effectiveness,1.2947154471544717
Return On Investment (TTM),0.066,0.1008,Effectiveness,0.6547619047619048
Revenue Per Employee (TTM),683933.0,1125238.0,Effectiveness,0.6078118584690527
Total Debt/Total Capital (MRQ),0.0984,0.5241,Financial strength,0.1877504293073841
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0008,Financial strength,-0.37499999999999994
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),26.69,21.92,Financial strength,1.217609489051095
