,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,29.81,34.02,29.54,27.28,,,,,
low,22.87,13.94,21.83,16.88,,,,,
change,0.1403,-0.17149999999999999,0.0654,-0.07,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,77.0,99.0,117.0,137.0,Balance Sheet
Short Term Investments,,,,,14.0,14.0,13.0,13.0,Balance Sheet
Cash and Short Term Invs,,,,,91.0,113.0,130.0,150.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,9.0,9.0,12.0,16.0,Balance Sheet
Other Receivables,,,,,6.0,0.0,8.0,10.0,Balance Sheet
"Total Receivables, Net",,,,,15.0,9.0,20.0,25.0,Balance Sheet
Prepaid Expenses,,,,,9.0,8.0,8.0,6.0,Balance Sheet
Restricted Cash - Current,,,,,13.0,13.0,13.0,13.0,Balance Sheet
Other Current Assets,,,,,5.0,6.0,5.0,5.0,Balance Sheet
"Other Curr. Assets, Total",,,,,18.0,19.0,18.0,18.0,Balance Sheet
Total Current Assets,,,,,134.0,149.0,176.0,200.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,30.0,29.0,30.0,30.0,Balance Sheet
"Goodwill, Net",,,,,437.0,437.0,437.0,437.0,Balance Sheet
Intangibles - Gross,,,,,810.0,813.0,817.0,821.0,Balance Sheet
Accum. Intangible Amort.,,,,,-26.0,-29.0,-31.0,-33.0,Balance Sheet
Intangibles - Net,,,,,783.0,785.0,787.0,788.0,Balance Sheet
Other Long Term Assets,,,,,2.0,3.0,3.0,12.0,Balance Sheet
Total Assets,,,,,1387.0,1403.0,1434.0,1467.0,Balance Sheet
Accounts Payable,,,,,3.0,2.0,2.0,2.0,Balance Sheet
Accrued Expenses,,,,,55.0,36.0,42.0,45.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,6.0,6.0,6.0,Balance Sheet
Income Taxes Payable,,,,,,0.0,,,Balance Sheet
Other Payables,,,,,2.0,4.0,2.0,1.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,2.0,4.0,2.0,1.0,Balance Sheet
Total Current Liabilities,,,,,59.0,49.0,53.0,54.0,Balance Sheet
Total Long Term Debt,,,,,115.0,117.0,115.0,114.0,Balance Sheet
Total Debt,,,,,115.0,123.0,121.0,120.0,Balance Sheet
Deferred Income Tax,,,,,159.0,159.0,159.0,159.0,Balance Sheet
"Other Liabilities, Total",,,,,45.0,44.0,43.0,43.0,Balance Sheet
Total Liabilities,,,,,378.0,368.0,370.0,370.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,929.0,932.0,935.0,939.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,80.0,102.0,128.0,158.0,Balance Sheet
Total Equity,,,,,1009.0,1035.0,1063.0,1097.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,1387.0,1403.0,1434.0,1467.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,74.0,74.0,74.0,74.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,143584.0,148303.0,151207.0,154663.0,Income Statement
"Cost of Revenue, Total",,,,,40594.0,42092.0,40907.0,38618.0,Income Statement
Selling/Gen/Admin Expense,,,,,27806.0,27792.0,27717.0,27544.0,Income Statement
Labor & Related Expense,,,,,45901.0,40290.0,39973.0,41589.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,73707.0,68082.0,67690.0,69133.0,Income Statement
Depreciation/Amortization,,,,,8080.0,7469.0,7711.0,7961.0,Income Statement
"Other Operat Expse, Total",,,,,24.0,128.0,78.0,-11.0,Income Statement
Total Operating Expense,,,,,122405.0,117771.0,116386.0,115701.0,Income Statement
Total Operating Income,,,,,21179.0,30532.0,34821.0,38962.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-953.0,-1159.0,-1488.0,-1560.0,Income Statement
Income Before Tax,,,,,20226.0,29373.0,33333.0,37402.0,Income Statement
Income Tax - Total,,,,,7875.0,7154.0,7993.0,7293.0,Income Statement
Income After Tax,,,,,12351.0,22219.0,25340.0,30109.0,Income Statement
Net Inc Before Extra Items,,,,,12351.0,22219.0,25340.0,30109.0,Income Statement
Total Net Income,,,,,12351.0,22219.0,25340.0,30109.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,12351.0,22219.0,25340.0,30109.0,Income Statement
