,AMK
% Below High,0.109
% Held by Institutions,0.2691
52-Wk Range,['16.88 - 27.29']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,18.0
Bid Size,
Closing Price,24.31
Day Change $,0.09
Day Change %,0.0037
Day High,24.35
Day Low,24.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.22
Ex-dividend Date,No dividend
Historical Volatility,0.33899999999999997
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",19.92
Prev Close,24.22
Short Interest,0.0152
Today's Open,24.11
Volume,12679.0
Volume 10-day Avg,153449.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.2158273381294964
Growth 1yr High Est,0.23776223776223793
Growth 1yr Consensus Est,0.22679478794586716
Growth 2yr Low Est,0.1730024264611979
Growth 2yr High Est,0.21210145786416978
Growth 2yr Consensus Est,0.19255194216268384
Growth 5yr Low Est,0.21421860453494673
Growth 5yr High Est,0.21355072893208488
Growth 5yr Consensus Est,0.2138846667335158
Growth 5yr Actual/Est,0.2035023194557986
Growth 3yr Historic,0.11482375663930472
Price/Earnings (TTM),19.91676
Price/Sales (TTM),3.00327
Price/Book (MRQ),1.63624
Price/Cash Flow (TTM),14.80719
5yr Low,13.94
5yr High,34.02
5yr Avg Return,-0.008949999999999998
Short Int Current Month,326532.0
Short Int Prev Month,356042.0
Short Int Pct of Float,0.0152174
Days to Cover,1.88504
Float,22.04353
Shares Outstanding,73.84711
Institutions Holding Shares,143.0
FCF Growth 5yr,0.3993970848231016
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",19.92
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7286
Operating Profit Margin (TTM),0.20989999999999998
Net Profit Margin (TTM),0.1506
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1857
EPS Growth (TTM),36.167500000000004
Revenue Growth (MRQ),0.0229
Revenue Growth (TTM),0.20120000000000002
Return On Equity (TTM),0.0862
Return On Assets (TTM),0.0637
Return On Investment (TTM),0.066
Revenue Per Employee (TTM),683933.0
Total Debt/Total Capital (MRQ),0.0984
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),26.69
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-07-30 00:00:00
ford since,2021-07-30 00:00:00
cfra since,
theStreet since,2022-11-14 00:00:00
newConstructs since,
marketEdge opinion since,
