,EXTR
% Below High,0.0015
% Held by Institutions,0.8493
52-Wk Range,['8.49 - 20.33']
Annual Dividend $,
Annual Dividend %,
Ask,20.46
Ask Size,200.0
B/A Ratio,6.0
B/A Size,1200x200
Beta,2.1
Bid,19.32
Bid Size,1200.0
Closing Price,20.3
Day Change $,0.38
Day Change %,0.0191
Day High,20.33
Day Low,19.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.33
Ex-dividend Date,No dividend
Historical Volatility,0.54
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",61.25
Prev Close,19.92
Short Interest,0.06269999999999999
Today's Open,19.92
Volume,400196.0
Volume 10-day Avg,1084223.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.2933333333333332
Growth 1yr High Est,0.31645569620253156
Growth 1yr Consensus Est,0.3048945147679324
Growth 2yr Low Est,0.32707903780068726
Growth 2yr High Est,0.35534323271665036
Growth 2yr Consensus Est,0.3412111352586688
Growth 5yr Low Est,0.34768232149675443
Growth 5yr High Est,0.3738002503825288
Growth 5yr Consensus Est,0.36074128593964155
Growth 5yr Actual/Est,1.4323946229209386
Growth 3yr Historic,1.262719298245614
Price/Earnings (TTM),61.25158
Price/Sales (TTM),2.33411
Price/Book (MRQ),24.08532
Price/Cash Flow (TTM),32.59267
5yr Low,1.43
5yr High,20.25
5yr Avg Return,0.18325
EPS Growth 5yr,
Revenue Growth 5yr,0.1287461
Dividend Growth 5yr,
Short Int Current Month,8052566.0
Short Int Prev Month,7269718.0
Short Int Pct of Float,0.0627373
Days to Cover,6.37712
Float,128.3975
Shares Outstanding,131.3453
Institutions Holding Shares,301.0
FCF Growth 5yr,0.16384174685085892
"Price/Earnings (TTM, GAAP)",61.25
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5612
Operating Profit Margin (TTM),0.0553
Net Profit Margin (TTM),0.038700000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.3209
EPS Growth (TTM),0.9431999999999999
Revenue Growth (MRQ),0.0701
Revenue Growth (TTM),0.09699999999999999
Return On Equity (TTM),0.4828
Return On Assets (TTM),0.042699999999999995
Return On Investment (TTM),0.0797
Revenue Per Employee (TTM),432208.0
Total Debt/Total Capital (MRQ),0.7073999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),0.86
Interest Coverage (MRQ),5.32
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-10-28 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-29 00:00:00
cfra since,
marketEdge opinion since,
