,ALNY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),27.23,45.03,Valuation,0.6047079724628026
Price/Book (MRQ),,12.61,Valuation,
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8384999999999999,0.5874,Profitability,1.4274770173646576
Operating Profit Margin (TTM),-0.9029,-4.7459,Profitability,0.19024842495627806
Net Profit Margin (TTM),-1.2302,-4.5467,Profitability,0.2705698638573031
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.44810000000000005,-0.0014000000000000002,Gowth rates,320.07142857142856
EPS Growth (TTM),-0.37020000000000003,0.027200000000000002,Gowth rates,-13.61029411764706
Revenue Growth (MRQ),0.17559999999999998,1.3963999999999999,Gowth rates,0.1257519335433973
Revenue Growth (TTM),0.2824,0.9747,Gowth rates,0.28973017338668305
Return On Equity (TTM),-3.4351,0.1967,Effectiveness,-17.46365022877478
Return On Assets (TTM),-0.33740000000000003,0.0016,Effectiveness,-210.875
Return On Investment (TTM),-0.4204,0.0219,Effectiveness,-19.19634703196347
Revenue Per Employee (TTM),577128.0,1476201.0,Effectiveness,0.3909548902893305
Total Debt/Total Capital (MRQ),1.0713,0.4675,Financial strength,2.291550802139037
Change in Debt/Total Capital Quarter over Quarter,0.013000000000000001,0.0036,Financial strength,3.6111111111111116
Quick Ratio (MRQ),3.33,2.06,Financial strength,1.616504854368932
Interest Coverage (MRQ),-3.9,2.69,Financial strength,-1.449814126394052
