,ALNY
% Below High,0.1017
% Held by Institutions,0.9553
52-Wk Range,['117.58 - 236.80']
Annual Dividend $,
Annual Dividend %,
Ask,213.24
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.5
Bid,212.2
Bid Size,100.0
Closing Price,212.72
Day Change $,4.23
Day Change %,0.0203
Day High,214.26
Day Low,206.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-9.77
Ex-dividend Date,No dividend
Historical Volatility,0.632
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,26.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,208.49
Short Interest,0.0454
Today's Open,207.89
Volume,356464.0
Volume 10-day Avg,591870.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.19064327485380095
Growth 1yr High Est,-0.2236842105263157
Growth 1yr Consensus Est,-0.01652046783625738
Growth 2yr Low Est,-0.0058571444984433785
Growth 2yr High Est,-0.430486173059768
Growth 2yr Consensus Est,-0.2181716587791057
Growth 5yr Low Est,-0.0029285722492216892
Growth 5yr High Est,-0.215243086529884
Growth 5yr Consensus Est,-0.10908582938955284
Growth 5yr Actual/Est,-0.05168332915610424
Growth 3yr Historic,-0.028750128097903144
Price/Earnings (TTM),
Price/Sales (TTM),27.23496
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,60.27
5yr High,236.8
5yr Avg Return,0.13416666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.7806768
Dividend Growth 5yr,
Short Int Current Month,5558033.0
Short Int Prev Month,6032021.0
Short Int Pct of Float,0.045414199999999995
Days to Cover,7.4709
Float,122.3853
Shares Outstanding,123.0282
Institutions Holding Shares,709.0
FCF Growth 5yr,0.13269039237458738
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8384999999999999
Operating Profit Margin (TTM),-0.9029
Net Profit Margin (TTM),-1.2302
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.44810000000000005
EPS Growth (TTM),-0.37020000000000003
Revenue Growth (MRQ),0.17559999999999998
Revenue Growth (TTM),0.2824
Return On Equity (TTM),-3.4351
Return On Assets (TTM),-0.33740000000000003
Return On Investment (TTM),-0.4204
Revenue Per Employee (TTM),577128.0
Total Debt/Total Capital (MRQ),1.0713
Change in Debt/Total Capital Quarter over Quarter,0.013000000000000001
Quick Ratio (MRQ),3.33
Interest Coverage (MRQ),-3.9
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2015-05-29 00:00:00
cfra since,2022-08-04 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2015-08-21 00:00:00
