,ABG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.17,19.03,Valuation,0.27167630057803466
Price/Sales (TTM),0.28,1.93,Valuation,0.1450777202072539
Price/Book (MRQ),1.52,92.12,Valuation,0.016500217108119844
"PEG Ratio (TTM, GAAP)",0.28,7.27,Valuation,0.038514442916093544
Gross Profit Margin (TTM),0.20199999999999999,0.34390000000000004,Profitability,0.5873800523407966
Operating Profit Margin (TTM),0.0842,0.11789999999999999,Profitability,0.714164546225615
Net Profit Margin (TTM),0.0546,0.0818,Profitability,0.6674816625916871
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),0.0179,-0.10800000000000001,Gowth rates,-0.16574074074074072
EPS Growth (TTM),0.4143,0.0262,Gowth rates,15.81297709923664
Revenue Growth (MRQ),-0.0213,0.0478,Gowth rates,-0.4456066945606694
Revenue Growth (TTM),0.5273,0.0874,Gowth rates,6.033180778032036
Return On Equity (TTM),0.3979,5.2054,Effectiveness,0.07643985092404042
Return On Assets (TTM),0.1378,0.1562,Effectiveness,0.882202304737516
Return On Investment (TTM),0.16399999999999998,0.26,Effectiveness,0.6307692307692306
Revenue Per Employee (TTM),1012866.0,410011.0,Effectiveness,2.470338600671689
Total Debt/Total Capital (MRQ),0.5593,0.8926999999999999,Financial strength,0.6265262686232778
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0016,Financial strength,0.125
Quick Ratio (MRQ),0.85,0.39,Financial strength,2.1794871794871793
Interest Coverage (MRQ),7.74,13.36,Financial strength,0.5793413173652695
