,JPM
% Below High,0.19469999999999998
% Held by Institutions,0.672
52-Wk Range,['101.28 - 169.81']
Annual Dividend $,4.0
Annual Dividend %,0.029300000000000003
Ask,137.13
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,136.0
Bid Size,100.0
Closing Price,136.74
Day Change $,0.26
Day Change %,0.0019
Day High,137.14
Day Low,136.06
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",11.85
Ex-dividend,2022-10-05 00:00:00
Ex-dividend Date,10/05/22
Historical Volatility,0.3
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,401.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.54
Prev Close,136.48
Short Interest,0.0084
Today's Open,136.48
Volume,3220496.0
Volume 10-day Avg,9626322.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-13 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.23716216216216224
Growth 1yr High Est,-0.22028423772609818
Growth 1yr Consensus Est,-0.2287231999441302
Growth 2yr Low Est,-0.09555185167452662
Growth 2yr High Est,-0.009065068324523862
Growth 2yr Consensus Est,-0.05230845999952524
Growth 5yr Low Est,0.07111739420261709
Growth 5yr High Est,0.10782701639953582
Growth 5yr Consensus Est,0.08947220530107645
Growth 5yr Actual/Est,0.10402683626941192
Growth 3yr Historic,0.13952198467123839
Price/Earnings (TTM),11.54398
Price/Sales (TTM),3.25016
Price/Book (MRQ),1.57178
Price/Cash Flow (TTM),9.39027
5yr Low,76.91
5yr High,172.96
5yr Avg Return,0.0684
EPS Growth 5yr,0.19948280000000002
Revenue Growth 5yr,0.0069264999999999995
Dividend Growth 5yr,0.1499442
Short Int Current Month,24333614.0
Short Int Prev Month,22353403.0
Short Int Pct of Float,0.0083757
Days to Cover,1.90742
Float,2906.13
Shares Outstanding,2933.205
Institutions Holding Shares,4186.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",11.54
"PEG Ratio (TTM, GAAP)",98.67
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3694
Net Profit Margin (TTM),0.3004
Annual Dividend Yield,0.029300000000000003
Dividend Change %,0.0278
"Dividend Growth Rate, 3 Years",0.1427
EPS Growth (MRQ),0.1297
EPS Growth (TTM),-0.2506
Revenue Growth (MRQ),0.3735
Revenue Growth (TTM),0.3028
Return On Equity (TTM),0.138
Return On Assets (TTM),0.0098
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-08-05 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-10-13 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
