,MKSI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.55,20.56,Valuation,0.5131322957198444
Price/Sales (TTM),1.67,7.41,Valuation,0.2253711201079622
Price/Book (MRQ),1.3,13.13,Valuation,0.099009900990099
"PEG Ratio (TTM, GAAP)",,0.9,Valuation,
Gross Profit Margin (TTM),0.43920000000000003,0.5489,Profitability,0.8001457460375296
Operating Profit Margin (TTM),0.1972,0.25739999999999996,Profitability,0.7661227661227662
Net Profit Margin (TTM),0.1331,0.2224,Profitability,0.5984712230215827
Annual Dividend Yield,0.010900000000000002,0.014499999999999999,Dividend,0.7517241379310347
Dividend Change %,0.075,0.0676,Dividend,1.1094674556213018
"Dividend Growth Rate, 3 Years",0.033100000000000004,0.091,Dividend,0.3637362637362638
EPS Growth (MRQ),-0.9578,1.5356,Gowth rates,-0.6237301380567856
EPS Growth (TTM),-0.1732,0.2274,Gowth rates,-0.7616534740545294
Revenue Growth (MRQ),0.24710000000000001,0.1335,Gowth rates,1.850936329588015
Revenue Growth (TTM),0.1332,0.24170000000000003,Gowth rates,0.5510964004964832
Return On Equity (TTM),0.12480000000000001,0.36920000000000003,Effectiveness,0.3380281690140845
Return On Assets (TTM),0.0545,0.16010000000000002,Effectiveness,0.3404122423485321
Return On Investment (TTM),0.0601,0.1925,Effectiveness,0.3122077922077922
Revenue Per Employee (TTM),537483.0,898550.0,Effectiveness,0.5981670469089088
Total Debt/Total Capital (MRQ),0.5459,0.3576,Financial strength,1.5265659955257274
Change in Debt/Total Capital Quarter over Quarter,0.0134,0.0,Financial strength,inf
Quick Ratio (MRQ),1.81,2.24,Financial strength,0.8080357142857142
Interest Coverage (MRQ),1.95,15.8,Financial strength,0.12341772151898733
