,MKSI
Price/Earnings (TTM),10.54732
Price/Sales (TTM),1.6721
Price/Book (MRQ),1.29955
Price/Cash Flow (TTM),9.34229
5yr Low,56.37
5yr High,199.44
5yr Avg Return,0.04735
EPS Growth 5yr,0.38548920000000003
Revenue Growth 5yr,0.1788967
Dividend Growth 5yr,0.0480884
Short Int Current Month,1792320.0
Short Int Prev Month,1570286.0
Short Int Pct of Float,0.0285537
Days to Cover,1.49418
Float,66.16881
Shares Outstanding,66.50677
Institutions Holding Shares,485.0
% Held by Institutions,0.893306
FCF Growth 5yr,1.216483703825476
