,MKSI
% Above Low,0.2518
% Held by Institutions,0.8933
52-Wk Range,['64.77 - 181.03']
Annual Dividend $,0.88
Annual Dividend %,0.0109
Ask,
Ask Size,
Ask close,86.37
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Bid close,75.43
Change Since Close,-2.42| |(-2.98%)
Closing Price,81.08
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",7.69
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.544
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,78.66
Market Cap,5.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.55
Prev Close,81.08
Short Interest,0.0286
Today's Open,
Volume,1.0
Volume 10-day Avg,747427.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.2124999999999999
Growth 1yr High Est,-0.16872791519434627
Growth 1yr Consensus Est,-0.1906139575971731
Growth 2yr Low Est,-0.37949263038548753
Growth 2yr High Est,-0.2947784103070562
Growth 2yr Consensus Est,-0.33713552034627187
Growth 5yr Low Est,0.11255253538196885
Growth 5yr High Est,0.15099636529086588
Growth 5yr Consensus Est,0.13177445033641738
Growth 5yr Actual/Est,0.12436313934535867
Growth 3yr Historic,0.29385846067723537
Price/Earnings (TTM),10.54732
Price/Sales (TTM),1.6721
Price/Book (MRQ),1.29955
Price/Cash Flow (TTM),9.34229
5yr Low,56.37
5yr High,199.44
5yr Avg Return,0.04735
EPS Growth 5yr,0.38548920000000003
Revenue Growth 5yr,0.1788967
Dividend Growth 5yr,0.0480884
Short Int Current Month,1792320.0
Short Int Prev Month,1570286.0
Short Int Pct of Float,0.0285537
Days to Cover,1.49418
Float,66.16881
Shares Outstanding,66.50677
Institutions Holding Shares,485.0
FCF Growth 5yr,1.216483703825476
"Price/Earnings (TTM, GAAP)",10.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.43920000000000003
Operating Profit Margin (TTM),0.1972
Net Profit Margin (TTM),0.1331
Annual Dividend Yield,0.010900000000000002
Dividend Change %,0.075
"Dividend Growth Rate, 3 Years",0.033100000000000004
EPS Growth (MRQ),-0.9578
EPS Growth (TTM),-0.1732
Revenue Growth (MRQ),0.24710000000000001
Revenue Growth (TTM),0.1332
Return On Equity (TTM),0.12480000000000001
Return On Assets (TTM),0.0545
Return On Investment (TTM),0.0601
Revenue Per Employee (TTM),537483.0
Total Debt/Total Capital (MRQ),0.5459
Change in Debt/Total Capital Quarter over Quarter,0.0134
Quick Ratio (MRQ),1.81
Interest Coverage (MRQ),1.95
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-07-13 00:00:00
cfra since,2022-10-17 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
