,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,36.06,21.45,,,,,
low,16.25,8.39,,,,,
change,-0.4823,-0.47759999999999997,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,1017.0,886.0,1166.0,1255.0,Balance Sheet
Short Term Investments,,,100.0,222.0,75.0,0.0,Balance Sheet
Cash and Short Term Invs,,,1117.0,1108.0,1241.0,1255.0,Balance Sheet
"Total Receivables, Net",,,144.0,140.0,129.0,128.0,Balance Sheet
Prepaid Expenses,,,51.0,97.0,115.0,111.0,Balance Sheet
Restricted Cash - Current,,,2.0,2.0,2.0,2.0,Balance Sheet
Other Current Assets,,,22.0,,,,Balance Sheet
"Other Curr. Assets, Total",,,24.0,2.0,2.0,2.0,Balance Sheet
Total Current Assets,,,1336.0,1347.0,1487.0,1496.0,Balance Sheet
Buildings,,,42.0,,,,Balance Sheet
Machinery/Equipment,,,189.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,103.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,334.0,,,,Balance Sheet
Accumulated Depreciation,,,-142.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,193.0,204.0,220.0,211.0,Balance Sheet
"Goodwill, Net",,,788.0,829.0,810.0,802.0,Balance Sheet
Intangibles - Gross,,,719.0,749.0,744.0,743.0,Balance Sheet
Accum. Intangible Amort.,,,-302.0,-329.0,-349.0,-368.0,Balance Sheet
Intangibles - Net,,,417.0,419.0,395.0,375.0,Balance Sheet
Long Term Investments,,,18.0,18.0,23.0,28.0,Balance Sheet
Other Long Term Assets,,,13.0,31.0,30.0,40.0,Balance Sheet
Total Assets,,,2803.0,2889.0,3006.0,2993.0,Balance Sheet
Accounts Payable,,,46.0,42.0,49.0,40.0,Balance Sheet
Accrued Expenses,,,318.0,277.0,342.0,309.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,12.0,12.0,12.0,12.0,Balance Sheet
Customer Advances,,,32.0,31.0,31.0,31.0,Balance Sheet
Income Taxes Payable,,,163.0,163.0,155.0,134.0,Balance Sheet
Other Current Liabilities,,,,7.0,27.0,,Balance Sheet
"Other Curr. Lblts, Total",,,194.0,201.0,213.0,165.0,Balance Sheet
Total Current Liabilities,,,570.0,532.0,616.0,526.0,Balance Sheet
Total Long Term Debt,,,2423.0,2420.0,2417.0,2414.0,Balance Sheet
Total Debt,,,2435.0,2433.0,2430.0,2427.0,Balance Sheet
Deferred Income Tax,,,54.0,56.0,54.0,53.0,Balance Sheet
"Other Liabilities, Total",,,135.0,121.0,102.0,88.0,Balance Sheet
Total Liabilities,,,3181.0,3129.0,3190.0,3082.0,Balance Sheet
Common Stock,,,4.0,4.0,4.0,4.0,Balance Sheet
Additional Paid-In Capital,,,1033.0,1072.0,1107.0,1139.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-1418.0,-1335.0,-1298.0,-1230.0,Balance Sheet
Cum. Trans. Adjustment,,,-2.0,-5.0,-15.0,-30.0,Balance Sheet
Other Comprehensive Income,,,5.0,24.0,18.0,28.0,Balance Sheet
"Other Equity, Total",,,3.0,19.0,3.0,-1.0,Balance Sheet
Total Equity,,,-378.0,-240.0,-184.0,-88.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,2803.0,2889.0,3006.0,2993.0,Balance Sheet
Ttl Comm. Shares Outs.,,,411.0,412.0,412.0,413.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,649.0,677.0,660.0,648.0,Income Statement
"Cost of Revenue, Total",,,183.0,187.0,186.0,182.0,Income Statement
Selling/Gen/Admin Expense,,,218.0,231.0,235.0,199.0,Income Statement
Labor & Related Expense,,,18.0,26.0,22.0,20.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,236.0,257.0,257.0,220.0,Income Statement
Research & Development,,,118.0,113.0,125.0,115.0,Income Statement
Total Operating Expense,,,537.0,557.0,568.0,516.0,Income Statement
Total Operating Income,,,112.0,120.0,91.0,131.0,Income Statement
