,PLTK
% Above Low,0.0828
% Held by Institutions,0.1993
52-Wk Range,['8.39 - 21.45']
Annual Dividend $,
Annual Dividend %,
Ask,9.09
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,
Bid,9.08
Bid Size,400.0
Day Change $,-0.245
Day Change %,-0.0263
Day High,9.19
Day Low,8.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.7
Ex-dividend Date,No dividend
Historical Volatility,0.64
Last (size),100.0
Last (time),11:03a ET 11/28/22
Market Cap,3.3B
"P/E Ratio (TTM, GAAP)",13.24
Prev Close,9.33
Price,9.09
Short Interest,0.1292
Today's Open,8.94
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0
Growth 2yr High Est,0.33783783783783794
Growth 2yr Consensus Est,0.16891891891891897
Growth 5yr Low Est,0.0
Growth 5yr High Est,0.33783783783783794
Growth 5yr Consensus Est,0.16891891891891897
Growth 5yr Actual/Est,0.7531944444444445
Growth 3yr Historic,0.7083333333333334
Price/Earnings (TTM),13.23855
Price/Sales (TTM),1.27949
Price/Book (MRQ),
Price/Cash Flow (TTM),7.41644
5yr Low,8.39
5yr High,36.06
5yr Avg Return,-0.47995
EPS Growth 5yr,0.3057805
Revenue Growth 5yr,0.2261709
Dividend Growth 5yr,
Short Int Current Month,5816314.0
Short Int Prev Month,5744777.0
Short Int Pct of Float,0.1291569
Days to Cover,3.80603
Float,45.98274
Shares Outstanding,361.1244
Institutions Holding Shares,232.0
FCF Growth 5yr,1.569299973906852
"Price/Earnings (TTM, GAAP)",13.24
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7199
Operating Profit Margin (TTM),0.1728
Net Profit Margin (TTM),0.11019999999999999
EPS Growth (MRQ),0.8740000000000001
EPS Growth (TTM),-0.0559
Revenue Growth (MRQ),-0.0179
Revenue Growth (TTM),0.050199999999999995
Return On Equity (TTM),
Return On Assets (TTM),0.1014
Return On Investment (TTM),0.1257
Revenue Per Employee (TTM),658325.0
Total Debt/Total Capital (MRQ),1.0378
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.95
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-09-30 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
