,PLTK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.24,,Valuation,
Price/Sales (TTM),1.28,,Valuation,
Price/Book (MRQ),,,Valuation,
"PEG Ratio (TTM, GAAP)",,,Valuation,
Gross Profit Margin (TTM),0.7199,,Profitability,
Operating Profit Margin (TTM),0.1728,,Profitability,
Net Profit Margin (TTM),0.11019999999999999,,Profitability,
EPS Growth (MRQ),0.8740000000000001,,Gowth rates,
EPS Growth (TTM),-0.0559,,Gowth rates,
Revenue Growth (MRQ),-0.0179,,Gowth rates,
Revenue Growth (TTM),0.050199999999999995,,Gowth rates,
Return On Equity (TTM),,,Effectiveness,
Return On Assets (TTM),0.1014,,Effectiveness,
Return On Investment (TTM),0.1257,,Effectiveness,
Revenue Per Employee (TTM),658325.0,,Effectiveness,
Total Debt/Total Capital (MRQ),1.0378,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0009,,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),5.95,,Financial strength,
