,UAA
% Above Low,0.4718
% Held by Institutions,0.763
52-Wk Range,['6.38 - 24.91']
Annual Dividend $,
Annual Dividend %,
Ask,10.0
Ask Size,800.0
B/A Ratio,3.0
B/A Size,2400x800
Beta,1.5
Bid,9.39
Bid Size,2400.0
Closing Price,9.39
Day Change $,-0.28
Day Change %,-0.028999999999999998
Day High,9.7
Day Low,9.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.31
Ex-dividend Date,No dividend
Historical Volatility,0.627
Last (size),23.0
Last (time),7:00p ET 11/28/22
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.62
Prev Close,9.67
Short Interest,0.12480000000000001
Today's Open,9.54
Volume,7807370.0
Volume 10-day Avg,8281202.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0
Growth 2yr High Est,0.7083333333333333
Growth 2yr Consensus Est,0.35416666666666663
Growth 5yr Low Est,0.0
Growth 5yr High Est,0.7083333333333333
Growth 5yr Consensus Est,0.35416666666666663
Growth 5yr Actual/Est,-1.0963109602815484
Growth 3yr Historic,-1.1173076923076923
Price/Earnings (TTM),31.62404
Price/Sales (TTM),0.71275
Price/Book (MRQ),2.40721
Price/Cash Flow (TTM),14.54909
5yr Low,6.38
5yr High,27.72
5yr Avg Return,-0.0009666666666666639
Short Int Current Month,23469190.0
Short Int Prev Month,20520966.0
Short Int Pct of Float,0.12476179999999999
Days to Cover,1.91969
Float,381.364
Shares Outstanding,452.2365
Institutions Holding Shares,495.0
FCF Growth 5yr,-1.8767832894930827
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",31.62
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4737
Operating Profit Margin (TTM),0.0337
Net Profit Margin (TTM),0.0253
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),10.4126
EPS Growth (TTM),-0.6647
Revenue Growth (MRQ),0.16670000000000001
Revenue Growth (TTM),0.0351
Return On Equity (TTM),0.0763
Return On Assets (TTM),0.030299999999999997
Return On Investment (TTM),0.043
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.2705
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.36
Interest Coverage (MRQ),33.59
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-11-02 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-11-02 00:00:00
ford since,2022-09-16 00:00:00
marketEdge opinion since,
marketEdge since,2022-02-22 00:00:00
