,PTON,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,71.6,Valuation,
Price/Sales (TTM),1.01,1.12,Valuation,0.9017857142857142
Price/Book (MRQ),13.23,4.04,Valuation,3.2747524752475248
"PEG Ratio (TTM, GAAP)",,2.17,Valuation,
Gross Profit Margin (TTM),0.19210000000000002,0.4144,Profitability,0.4635617760617761
Operating Profit Margin (TTM),-0.8099,0.0529,Profitability,-15.310018903591681
Net Profit Margin (TTM),-0.8429000000000001,0.0173,Profitability,-48.722543352601164
Annual Dividend Yield,,0.0165,Dividend,
Dividend Change %,,0.08750000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0415,Dividend,
EPS Growth (MRQ),0.6758,0.1759,Gowth rates,3.8419556566230812
EPS Growth (TTM),-3.0011,-0.3306,Gowth rates,9.07773744706594
Revenue Growth (MRQ),-0.0916,0.06280000000000001,Gowth rates,-1.4585987261146496
Revenue Growth (TTM),-0.1661,0.1151,Gowth rates,-1.4430929626411817
Return On Equity (TTM),-3.2404,0.0245,Effectiveness,-132.26122448979592
Return On Assets (TTM),-0.7144,0.0403,Effectiveness,-17.727047146401986
Return On Investment (TTM),-0.9904000000000001,0.0563,Effectiveness,-17.591474245115453
Revenue Per Employee (TTM),547764.0,596566.0,Effectiveness,0.9181951368331417
Total Debt/Total Capital (MRQ),0.8668000000000001,0.4744,Financial strength,1.8271500843170323
Change in Debt/Total Capital Quarter over Quarter,0.0147,0.0019,Financial strength,7.7368421052631575
Quick Ratio (MRQ),1.4,1.03,Financial strength,1.3592233009708736
Interest Coverage (MRQ),-5.83,16.69,Financial strength,-0.3493109646494907
