,2019,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,37.02,167.37,171.09,40.35,,,,,
low,20.46,17.7,33.91,6.66,,,,,
change,0.0519,4.2498000000000005,-0.7655,-0.7154,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,1607.0,879.0,1254.0,939.0,Balance Sheet
Short Term Investments,,,,,0.0,0.0,0.0,,Balance Sheet
Cash and Short Term Invs,,,,,1607.0,879.0,1254.0,939.0,Balance Sheet
"Total Receivables, Net",,,,,95.0,75.0,84.0,82.0,Balance Sheet
Invent. - Finished Goods,,,,,1522.0,1408.0,1306.0,1180.0,Balance Sheet
Invent. - Work In Progress,,,,,6.0,4.0,4.0,0.0,Balance Sheet
Invent. - Raw Materials,,,,,100.0,98.0,77.0,93.0,Balance Sheet
Inventories - Other,,,,,-87.0,-100.0,-282.0,-280.0,Balance Sheet
Total Inventory,,,,,1541.0,1410.0,1105.0,993.0,Balance Sheet
Prepaid Expenses,,,,,214.0,207.0,193.0,279.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,0.0,0.0,Balance Sheet
Total Current Assets,,,,,3457.0,2571.0,2635.0,2293.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,1443.0,1458.0,1273.0,1112.0,Balance Sheet
"Goodwill, Net",,,,,224.0,41.0,41.0,41.0,Balance Sheet
Intangibles - Net,,,,,229.0,218.0,41.0,37.0,Balance Sheet
Other Long Term Assets,,,,,42.0,40.0,34.0,31.0,Balance Sheet
Total Assets,,,,,5483.0,4415.0,4029.0,3593.0,Balance Sheet
Payable/Accrued,,,,,1136.0,717.0,797.0,622.0,Balance Sheet
Accrued Expenses,,,,,81.0,88.0,86.0,90.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,8.0,8.0,Balance Sheet
Customer Advances,,,,,241.0,211.0,201.0,197.0,Balance Sheet
Other Current Liabilities,,,,,24.0,16.0,13.0,10.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,265.0,227.0,214.0,208.0,Balance Sheet
Total Current Liabilities,,,,,1482.0,1031.0,1106.0,927.0,Balance Sheet
Total Long Term Debt,,,,,847.0,855.0,1554.0,1675.0,Balance Sheet
Total Debt,,,,,847.0,855.0,1562.0,1682.0,Balance Sheet
"Other Liabilities, Total",,,,,785.0,775.0,776.0,732.0,Balance Sheet
Total Liabilities,,,,,3114.0,2662.0,3436.0,3334.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,4049.0,4198.0,4291.0,4320.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-1698.0,-2455.0,-3711.0,-4079.0,Balance Sheet
Other Equity,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Comprehensive Income,,,,,18.0,10.0,12.0,17.0,Balance Sheet
"Other Equity, Total",,,,,18.0,10.0,12.0,17.0,Balance Sheet
Total Equity,,,,,2369.0,1753.0,593.0,259.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,5483.0,4415.0,4029.0,3593.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,303.0,307.0,308.0,311.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,29.0,30.0,30.0,29.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,331.0,337.0,338.0,340.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,1134.0,964.0,679.0,617.0,Income Statement
"Cost of Revenue, Total",,,,,854.0,780.0,709.0,399.0,Income Statement
Selling/Gen/Admin Expense,,,,,531.0,401.0,318.0,254.0,Income Statement
Labor & Related Expense,,,,,47.0,49.0,51.0,63.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,578.0,450.0,369.0,317.0,Income Statement
Research & Development,,,,,95.0,72.0,80.0,85.0,Income Statement
Depreciation/Amortization,,,,,25.0,26.0,26.0,18.0,Income Statement
Restructuring Charge,,,,,,159.0,22.0,107.0,Income Statement
Impair-Assets Held for Use,,,,,8.0,214.0,348.0,63.0,Income Statement
