,PTON
% Above Low,0.5315
% Held by Institutions,0.7564
52-Wk Range,['6.66 - 46.50']
Annual Dividend $,
Annual Dividend %,
Ask,10.2
Ask Size,400.0
B/A Ratio,3.0
B/A Size,1200x400
Beta,
Bid,10.19
Bid Size,1200.0
Day Change $,0.14
Day Change %,0.0139
Day High,10.94
Day Low,9.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.58
Ex-dividend Date,No dividend
Historical Volatility,1.072
Last (size),901.0
Last (time),11:51a ET 11/28/22
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.06
Price,10.2
Short Interest,0.1445
Today's Open,9.98
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.33333333333333326
Growth 2yr High Est,-1.12
Growth 2yr Consensus Est,-0.7266666666666667
Growth 5yr Low Est,-0.33333333333333326
Growth 5yr High Est,-1.12
Growth 5yr Consensus Est,-0.7266666666666667
Growth 5yr Actual/Est,6.6934739404557595
Growth 3yr Historic,7.017708333333334
Price/Earnings (TTM),
Price/Sales (TTM),1.00812
Price/Book (MRQ),13.22548
Price/Cash Flow (TTM),
5yr Low,6.66
5yr High,171.09
5yr Avg Return,0.7051999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.7494338
Dividend Growth 5yr,
Short Int Current Month,43252403.0
Short Int Prev Month,44225503.0
Short Int Pct of Float,0.1444753
Days to Cover,2.60419
Float,310.6461
Shares Outstanding,340.0539
Institutions Holding Shares,556.0
FCF Growth 5yr,-0.020328040265436404
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.19210000000000002
Operating Profit Margin (TTM),-0.8099
Net Profit Margin (TTM),-0.8429000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6758
EPS Growth (TTM),-3.0011
Revenue Growth (MRQ),-0.0916
Revenue Growth (TTM),-0.1661
Return On Equity (TTM),-3.2404
Return On Assets (TTM),-0.7144
Return On Investment (TTM),-0.9904000000000001
Revenue Per Employee (TTM),547764.0
Total Debt/Total Capital (MRQ),0.8668000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0147
Quick Ratio (MRQ),1.4
Interest Coverage (MRQ),-5.83
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2020-11-18 00:00:00
theStreet since,2020-11-18 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-11-04 00:00:00
ford since,2022-05-13 00:00:00
marketEdge opinion since,
