,KSS
% Above Low,0.2974
% Held by Institutions,0.8755
52-Wk Range,['24.61 - 64.38']
Annual Dividend $,2.0
Annual Dividend %,0.0626
Ask,32.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,31.5
Bid Size,100.0
Closing Price,31.93
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",4.29
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.7120000000000001
Last (size),93.0
Last (time),5:00p ET 11/25/22
Market Cap,3.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.44
Prev Close,31.93
Short Interest,0.1438
Today's Open,
Volume,2513198.0
Volume 10-day Avg,3886385.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.603960396039604
Growth 1yr High Est,-0.5620827770360481
Growth 1yr Consensus Est,-0.5830215865378261
Growth 2yr Low Est,-0.3555516265912306
Growth 2yr High Est,-0.1331755348594874
Growth 2yr Consensus Est,-0.244363580725359
Growth 5yr Low Est,-1.4673635739288347
Growth 5yr High Est,-1.514789371095265
Growth 5yr Consensus Est,-1.4910764725120498
Growth 5yr Actual/Est,-1.5198237966079753
Growth 3yr Historic,-1.39788222780219
Price/Earnings (TTM),7.44468
Price/Sales (TTM),0.20047
Price/Book (MRQ),0.90924
Price/Cash Flow (TTM),2.72241
5yr Low,10.89
5yr High,83.28
5yr Avg Return,-0.03148333333333332
EPS Growth 5yr,0.1533039
Revenue Growth 5yr,-0.002533
Dividend Growth 5yr,-0.0559125
Short Int Current Month,16501276.0
Short Int Prev Month,15536010.0
Short Int Pct of Float,0.1438235
Days to Cover,3.46562
Float,114.8031
Shares Outstanding,116.638
Institutions Holding Shares,487.0
FCF Growth 5yr,-0.2479338348960268
"Price/Earnings (TTM, GAAP)",7.44
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.39890000000000003
Operating Profit Margin (TTM),0.053700000000000005
Net Profit Margin (TTM),0.0298
Annual Dividend Yield,0.0626
Dividend Change %,0.2458
"Dividend Growth Rate, 3 Years",-0.1497
EPS Growth (MRQ),-0.2704
EPS Growth (TTM),-0.3351
Revenue Growth (MRQ),0.04650000000000001
Revenue Growth (TTM),-0.026099999999999998
Return On Equity (TTM),0.1225
Return On Assets (TTM),0.0344
Return On Investment (TTM),0.04650000000000001
Revenue Per Employee (TTM),530800.0
Total Debt/Total Capital (MRQ),0.5716
Change in Debt/Total Capital Quarter over Quarter,0.0031
Quick Ratio (MRQ),0.12
Interest Coverage (MRQ),2.47
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-04-08 00:00:00
theStreet since,2022-06-06 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-18 00:00:00
ford since,2022-04-08 00:00:00
marketEdge opinion since,
