,ARGO
% Above Low,0.40890000000000004
% Held by Institutions,0.8493
52-Wk Range,['19.00 - 60.29']
Annual Dividend $,1.24
Annual Dividend %,0.0463
Ask,70.0
Ask Size,100.0
B/A Ratio,16.0
B/A Size,1600x100
Beta,1.0
Bid,26.01
Bid Size,1600.0
Closing Price,26.77
Day Change $,0.43
Day Change %,0.0163
Day High,26.97
Day Low,26.29
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",-5.49
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.46299999999999997
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,937.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,26.34
Short Interest,0.0091
Today's Open,26.29
Volume,57766.0
Volume 10-day Avg,160890.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,3.95
Growth 2yr High Est,1.3515151515151516
Growth 2yr Consensus Est,2.650757575757576
Growth 5yr Low Est,3.95
Growth 5yr High Est,1.3515151515151516
Growth 5yr Consensus Est,2.650757575757576
Growth 5yr Actual/Est,-0.24304558629007156
Growth 3yr Historic,-0.7870659722222222
Price/Earnings (TTM),
Price/Sales (TTM),0.49339
Price/Book (MRQ),0.7939
Price/Cash Flow (TTM),
5yr Low,19.0
5yr High,78.57
5yr Avg Return,-0.05125
EPS Growth 5yr,
Revenue Growth 5yr,0.060691699999999994
Dividend Growth 5yr,
Short Int Current Month,301295.0
Short Int Prev Month,474585.0
Short Int Pct of Float,0.0090941
Days to Cover,1.30131
Float,33.12795
Shares Outstanding,35.0555
Institutions Holding Shares,209.0
FCF Growth 5yr,-0.007842157842157915
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.091
Net Profit Margin (TTM),-0.0953
Annual Dividend Yield,0.0463
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.7158000000000002
EPS Growth (TTM),-2.7135000000000002
Revenue Growth (MRQ),0.0025
Revenue Growth (TTM),-0.10130000000000002
Return On Equity (TTM),-0.13119999999999998
Return On Assets (TTM),-0.0178
Return On Investment (TTM),
Revenue Per Employee (TTM),1494108.0
Total Debt/Total Capital (MRQ),0.25420000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-10 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-10 00:00:00
