,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,259.23,23.59,21.9,36.72,36.14,,,,,
low,10.65,11.83,9.01,13.63,24.41,,,,,
change,-0.2772,0.6709999999999999,-0.3059,1.2377,-0.163,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Due from Banks,,,,,,34.0,35.0,29.0,38.0,Balance Sheet
Interest-Earning Deposits,,,,,,241.0,235.0,303.0,218.0,Balance Sheet
Fed. Fund/Resale,,,,,,,5.0,5.0,5.0,Balance Sheet
Trading Account Assets,,,,,,,,0.0,0.0,Balance Sheet
FHLB Stock,,,,,,47.0,54.0,48.0,54.0,Balance Sheet
Securities Held,,,,,,118.0,112.0,239.0,234.0,Balance Sheet
Securities for Sale,,,,,,1176.0,1154.0,1131.0,1060.0,Balance Sheet
Total Invest. Securities,,,,,,1294.0,1266.0,1369.0,1294.0,Balance Sheet
Loans Held for Sale,,,,,,158.0,86.0,121.0,58.0,Balance Sheet
Other Earning Assets,,,,,,223.0,224.0,226.0,227.0,Balance Sheet
"Other Erng. Assets, Total",,,,,,1963.0,1870.0,2072.0,1856.0,Balance Sheet
Total Gross Loans,,,,,,5409.0,5635.0,5726.0,6446.0,Balance Sheet
Loan Loss Allowances,,,,,,-70.0,-56.0,-52.0,-54.0,Balance Sheet
Net Loans,,,,,,5340.0,5579.0,5674.0,6392.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,179.0,177.0,178.0,183.0,Balance Sheet
"Goodwill, Net",,,,,,20.0,20.0,20.0,20.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,11.0,22.0,33.0,46.0,Balance Sheet
Interest Receivable,,,,,,92.0,96.0,122.0,160.0,Balance Sheet
Other Assets,,,,,,,6.0,22.0,46.0,Balance Sheet
"Other Assets, Total",,,,,,92.0,102.0,144.0,207.0,Balance Sheet
Total Assets,,,,,,7638.0,7806.0,8151.0,8740.0,Balance Sheet
Payable/Accrued,,,,,,106.0,97.0,116.0,182.0,Balance Sheet
Accrued Expenses,,,,,,137.0,136.0,138.0,141.0,Balance Sheet
