,AMTB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.46,11.29,Valuation,0.8379096545615591
Price/Sales (TTM),2.72,3.28,Valuation,0.8292682926829269
Price/Book (MRQ),1.4,1.42,Valuation,0.9859154929577465
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.3876,0.3468,Profitability,1.1176470588235294
Net Profit Margin (TTM),0.2987,0.2848,Profitability,1.048806179775281
Annual Dividend Yield,0.0031,0.028999999999999998,Dividend,0.10689655172413794
Dividend Change %,,-0.0087,Dividend,
"Dividend Growth Rate, 3 Years",,0.0742,Dividend,
EPS Growth (MRQ),1.7397,-0.048,Gowth rates,-36.24375
EPS Growth (TTM),1.0942,-0.10490000000000001,Gowth rates,-10.430886558627265
Revenue Growth (MRQ),0.2525,0.5294,Gowth rates,0.4769550434454099
Revenue Growth (TTM),0.17989999999999998,0.22469999999999998,Gowth rates,0.8006230529595015
Return On Equity (TTM),0.14550000000000002,0.1153,Effectiveness,1.2619254119687773
Return On Assets (TTM),0.013300000000000001,0.0101,Effectiveness,1.316831683168317
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0009,Financial strength,0.6666666666666666
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
