,AMTB
% Above Low,0.1884
% Held by Institutions,0.3851
52-Wk Range,['24.41 - 36.72']
Annual Dividend $,0.09
Annual Dividend %,0.0031
Ask,46.75
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,11.7
Bid Size,200.0
Closing Price,29.01
Day Change $,-0.63
Day Change %,-0.0213
Day High,29.8
Day Low,29.0
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",3.07
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.33799999999999997
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,979.8M
"P/E Ratio (TTM, GAAP)",9.46
Prev Close,29.64
Short Interest,0.0181
Today's Open,29.73
Volume,58212.0
Volume 10-day Avg,49726.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.596638655462185
Growth 1yr High Est,0.6833333333333333
Growth 1yr Consensus Est,0.6399859943977592
Growth 2yr Low Est,0.45095090667846094
Growth 2yr High Est,0.5471122112211221
Growth 2yr Consensus Est,0.4990315589497915
Growth 5yr Low Est,0.22547545333923047
Growth 5yr High Est,0.27355610561056104
Growth 5yr Consensus Est,0.24951577947489575
Growth 5yr Actual/Est,-1.5286833483105766
Growth 3yr Historic,-1.6442012288786483
Price/Earnings (TTM),9.45882
Price/Sales (TTM),2.71811
Price/Book (MRQ),1.40441
Price/Cash Flow (TTM),8.66238
5yr Low,9.01
5yr High,259.23
5yr Avg Return,0.23252000000000003
EPS Growth 5yr,0.4022747
Revenue Growth 5yr,0.007439599999999999
Dividend Growth 5yr,
Short Int Current Month,450187.0
Short Int Prev Month,498660.0
Short Int Pct of Float,0.0180997
Days to Cover,5.66722
Float,22.54856
Shares Outstanding,33.77431
Institutions Holding Shares,131.0
FCF Growth 5yr,0.43569931117100924
"Price/Earnings (TTM, GAAP)",9.46
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3876
Net Profit Margin (TTM),0.2987
Annual Dividend Yield,0.0031
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.7397
EPS Growth (TTM),1.0942
Revenue Growth (MRQ),0.2525
Revenue Growth (TTM),0.17989999999999998
Return On Equity (TTM),0.14550000000000002
Return On Assets (TTM),0.013300000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-07-29 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
theStreet since,2022-09-07 00:00:00
newConstructs since,
marketEdge opinion since,
