,AIN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",30.75,24.01,Valuation,1.280716368179925
Price/Sales (TTM),3.17,3.06,Valuation,1.0359477124183005
Price/Book (MRQ),3.91,7.44,Valuation,0.5255376344086021
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),0.3864,0.32799999999999996,Profitability,1.178048780487805
Operating Profit Margin (TTM),0.1349,0.0198,Profitability,6.813131313131312
Net Profit Margin (TTM),0.10640000000000001,-0.0086,Profitability,-12.372093023255815
Annual Dividend Yield,0.008199999999999999,0.0143,Dividend,0.5734265734265733
Dividend Change %,0.0526,0.1666,Dividend,0.3157262905162065
"Dividend Growth Rate, 3 Years",0.055700000000000006,0.0885,Dividend,0.6293785310734464
EPS Growth (MRQ),-0.7258,0.3518,Gowth rates,-2.0631040363843094
EPS Growth (TTM),-0.07780000000000001,0.16149999999999998,Gowth rates,-0.48173374613003106
Revenue Growth (MRQ),-0.0031,0.196,Gowth rates,-0.015816326530612244
Revenue Growth (TTM),0.0981,0.1475,Gowth rates,0.6650847457627119
Return On Equity (TTM),0.12560000000000002,0.2859,Effectiveness,0.4393144456103534
Return On Assets (TTM),0.0688,0.0851,Effectiveness,0.8084606345475911
Return On Investment (TTM),0.07830000000000001,0.12490000000000001,Effectiveness,0.6269015212169736
Revenue Per Employee (TTM),245371.0,343373.0,Effectiveness,0.7145902560772105
Total Debt/Total Capital (MRQ),0.3528,0.6352000000000001,Financial strength,0.5554156171284634
Change in Debt/Total Capital Quarter over Quarter,0.0025,0.0189,Financial strength,0.13227513227513227
Quick Ratio (MRQ),3.56,1.07,Financial strength,3.3271028037383177
Interest Coverage (MRQ),,20.9,Financial strength,
