,AIN
% Below High,0.025099999999999997
% Held by Institutions,1.0038
52-Wk Range,['75.24 - 105.30']
Annual Dividend $,0.84
Annual Dividend %,0.008199999999999999
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,41.25
Bid Size,
Closing Price,102.66
Day Change $,0.67
Day Change %,0.0066
Day High,103.81
Day Low,102.36
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",3.34
Ex-dividend,2022-09-02 00:00:00
Ex-dividend Date,09/02/22
Historical Volatility,0.308
Last (size),16.0
Last (time),5:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.75
Prev Close,101.99
Short Interest,0.0165
Today's Open,102.73
Volume,37300.0
Volume 10-day Avg,98753.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.07792207792207795
Growth 1yr High Est,0.009975062344139696
Growth 1yr Consensus Est,-0.033973507788969126
Growth 2yr Low Est,-0.051637095299067126
Growth 2yr High Est,0.03461716080169952
Growth 2yr Consensus Est,-0.008509967248683803
Growth 5yr Low Est,-0.025818547649533563
Growth 5yr High Est,0.01730858040084976
Growth 5yr Consensus Est,-0.0042549836243419015
Growth 5yr Actual/Est,-0.006457608784306984
Growth 3yr Historic,-0.03380327289851662
Price/Earnings (TTM),30.74951
Price/Sales (TTM),3.17362
Price/Book (MRQ),3.914
Price/Cash Flow (TTM),17.95088
5yr Low,30.46
5yr High,105.3
5yr Avg Return,0.08708333333333335
EPS Growth 5yr,0.1736089
Revenue Growth 5yr,0.0356776
Dividend Growth 5yr,0.0942183
Short Int Current Month,507112.0
Short Int Prev Month,557921.0
Short Int Pct of Float,0.016452500000000002
Days to Cover,4.06402
Float,30.82442
Shares Outstanding,31.1
Institutions Holding Shares,309.0
FCF Growth 5yr,1.7887659828799514
"Price/Earnings (TTM, GAAP)",30.75
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3864
Operating Profit Margin (TTM),0.1349
Net Profit Margin (TTM),0.10640000000000001
Annual Dividend Yield,0.008199999999999999
Dividend Change %,0.0526
"Dividend Growth Rate, 3 Years",0.055700000000000006
EPS Growth (MRQ),-0.7258
EPS Growth (TTM),-0.07780000000000001
Revenue Growth (MRQ),-0.0031
Revenue Growth (TTM),0.0981
Return On Equity (TTM),0.12560000000000002
Return On Assets (TTM),0.0688
Return On Investment (TTM),0.07830000000000001
Revenue Per Employee (TTM),245371.0
Total Debt/Total Capital (MRQ),0.3528
Change in Debt/Total Capital Quarter over Quarter,0.0025
Quick Ratio (MRQ),3.56
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-08-20 00:00:00
ford since,2022-08-19 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-11-04 00:00:00
