,HE
% Below High,0.087
% Held by Institutions,0.5731
52-Wk Range,['33.18 - 44.72']
Annual Dividend $,1.4
Annual Dividend %,0.034300000000000004
Ask,41.99
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.4
Bid,34.4
Bid Size,100.0
Closing Price,40.83
Day Change $,0.56
Day Change %,0.0139
Day High,41.04
Day Low,40.42
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",2.17
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.24300000000000002
Last (size),643.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.78
Prev Close,40.27
Short Interest,0.0148
Today's Open,40.46
Volume,132809.0
Volume 10-day Avg,285722.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.013953488372092981
Growth 1yr High Est,-0.018181818181818188
Growth 1yr Consensus Est,-0.016067653276955585
Growth 2yr Low Est,0.023683633172444096
Growth 2yr High Est,0.053409090909090906
Growth 2yr Consensus Est,0.0385463620407675
Growth 5yr Low Est,0.059788492944091776
Growth 5yr High Est,0.06307147801437146
Growth 5yr Consensus Est,0.06142998547923162
Growth 5yr Actual/Est,0.04833819345591059
Growth 3yr Historic,0.04186882689308613
Price/Earnings (TTM),18.78485
Price/Sales (TTM),1.27956
Price/Book (MRQ),2.0665
Price/Cash Flow (TTM),9.11891
5yr Low,31.72
5yr High,55.15
5yr Avg Return,0.026583333333333327
EPS Growth 5yr,-0.0040162
Revenue Growth 5yr,0.036671800000000004
Dividend Growth 5yr,0.0186464
Short Int Current Month,1607879.0
Short Int Prev Month,1561245.0
Short Int Pct of Float,0.014837800000000002
Days to Cover,4.27708
Float,108.3769
Shares Outstanding,109.4704
Institutions Holding Shares,423.0
FCF Growth 5yr,-2.5565696748045728
"Price/Earnings (TTM, GAAP)",18.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1079
Operating Profit Margin (TTM),0.1079
Net Profit Margin (TTM),0.0688
Annual Dividend Yield,0.034300000000000004
Dividend Change %,0.030299999999999997
"Dividend Growth Rate, 3 Years",0.0313
EPS Growth (MRQ),0.1811
EPS Growth (TTM),-0.016200000000000003
Revenue Growth (MRQ),0.1637
Revenue Growth (TTM),0.2785
Return On Equity (TTM),0.1048
Return On Assets (TTM),0.015
Return On Investment (TTM),0.015500000000000002
Revenue Per Employee (TTM),971127.0
Total Debt/Total Capital (MRQ),0.5820000000000001
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.39
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-30 00:00:00
researchTeam since,2021-08-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2020-05-08 00:00:00
cfra since,
marketEdge opinion since,
