,POST
% Below High,0.020099999999999996
% Held by Institutions,0.9215000000000001
52-Wk Range,['61.67 - 94.54']
Annual Dividend $,
Annual Dividend %,
Ask,92.66
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,92.58
Bid Size,200.0
Day Change $,-0.28
Day Change %,-0.003
Day High,92.81
Day Low,92.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",11.8
Ex-dividend Date,No dividend
Historical Volatility,1.281
Last (size),100.0
Last (time),11:17a ET 11/28/22
Market Cap,5.4B
"P/E Ratio (TTM, GAAP)",7.87
Prev Close,92.92
Price,92.64
Short Interest,0.0378
Today's Open,92.37
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.47663551401869153
Growth 2yr High Est,-0.15736040609137047
Growth 2yr Consensus Est,0.15963755396366053
Growth 5yr Low Est,0.47663551401869153
Growth 5yr High Est,-0.15736040609137047
Growth 5yr Consensus Est,0.15963755396366053
Growth 5yr Actual/Est,0.18072528912047855
Growth 3yr Historic,-0.10378807762973027
Price/Earnings (TTM),7.8719
Price/Sales (TTM),0.93065
Price/Book (MRQ),1.67622
Price/Cash Flow (TTM),4.57677
5yr Low,63.53
5yr High,118.32
5yr Avg Return,0.037233333333333334
EPS Growth 5yr,0.8809804
Revenue Growth 5yr,0.022865299999999998
Dividend Growth 5yr,
Short Int Current Month,1982887.0
Short Int Prev Month,2276795.0
Short Int Pct of Float,0.0377925
Days to Cover,4.06323
Float,52.47293
Shares Outstanding,58.6036
Institutions Holding Shares,419.0
FCF Growth 5yr,0.5433320764203117
"Price/Earnings (TTM, GAAP)",7.87
"PEG Ratio (TTM, GAAP)",0.24
Gross Profit Margin (TTM),0.25079999999999997
Operating Profit Margin (TTM),0.0834
Net Profit Margin (TTM),0.1384
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5247999999999999
EPS Growth (TTM),6.4694
Revenue Growth (MRQ),0.0355
Revenue Growth (TTM),0.1748
Return On Equity (TTM),0.2451
Return On Assets (TTM),0.0683
Return On Investment (TTM),0.0763
Revenue Per Employee (TTM),561536.0
Total Debt/Total Capital (MRQ),0.6251
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),2.03
Interest Coverage (MRQ),1.95
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-05-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
